醫事機構代碼,醫事機構名稱,特約類別,電話,地址
3517070542,宏信診所,診所,04-24733618,台中巿南屯區大墩路２６２號
3517070444,明道小兒科診所,診所,04-23845795,台中巿南屯區田心里向心南路９３３號
3817070244,漢昇中醫診所,診所,04-23866267,台中巿南屯區忠勇路２７３．２７４號
3517070588,陳左任診所,診所,04-23869367,台中巿南屯區忠勇路４６５號
3817070208,明德中醫聯合診所,診所,04-23845972,台中巿南屯區南屯里黎明路一段１１５０號
3717071052,柏瑞牙醫診所,診所,04-23805517,台中巿南屯區黎明路二段１８８號
3817040380,保健堂中醫診所,診所,04-22659089,台中巿南區工學路５２號
5917040142,建明藥局,藥局,04-22659595,台中巿南區福平里美村路２段１８０號之３
5917040124,慧寧藥局,藥局,04-22851858,台中巿南區德義里忠孝路２號
3517061507,世民小兒科診所,診所,04-27083456,台中市上石里河南路二段４１１．４１３號１Ｆ
0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,04-26862288,台中市大甲區八德街２號
7336030013,李綜合醫療社團法人附設大甲居家護理所,居家護理,04-26862288,台中市大甲區八德街２號
3736030035,三民牙醫診所,診所,04-26860824,台中市大甲區三民路３９號
3536031752,小熊的森林診所,診所,04-26805060,台中市大甲區三民路一三二號一、二樓
3736030071,瑞文牙醫診所,診所,04-26873067,台中市大甲區大甲里中山路一段９４５號
5936030362,協德藥局,藥局,04-26872098,台中市大甲區大甲里光明路１３０號
3536030317,鄭成發診所,診所,04-26882366,台中市大甲區大甲里光明路６８號
3736030053,正大牙醫診所,診所,04-26863062,台中市大甲區大甲里蔣公路１號
3736030179,鴻光牙醫診所,診所,04-26873525,台中市大甲區大甲里蔣公路３４號
3836030108,慶安中醫診所,診所,04-26875469,台中市大甲區大甲里鎮政路１６號
3536031878,璩大維診所,診所,04-26863600,台中市大甲區中山路一段１０３５號１樓
3536031725,仁禾診所,診所,04-26888106,台中市大甲區中山路一段８５９號１．２樓及８６１號１．２樓
3736030197,三大牙醫診所,診所,04-26861010,台中市大甲區中山路一段一一四九號
3836031374,永吉中醫診所,診所,04-26866262,台中市大甲區中華街８６號
3736030133,中文牙醫診所,診所,04-26876357,台中市大甲區五福街２０號
3536030148,卓錦文診所,診所,04-26883789,台中市大甲區孔門里文武路７１之１號
3536030488,蔡精龍診所,診所,04-26875759,台中市大甲區文武里新政路２５４號
5936030273,民和藥局,藥局,04-26871212,台中市大甲區文武里德興路６８號
3536031770,元吉診所,診所,04-26872012,台中市大甲區文武路６５號
3536031789,佑吉診所,診所,04-26878088,台中市大甲區文武路６５號
5936031609,金鼎藥局,藥局,04-26805312,台中市大甲區文武路６７號
3536031869,幼工診所,診所,04-26811016,台中市大甲區日南里幼獅路３６號１樓
3536031707,喜月婦產科診所,診所,04-26881746,台中市大甲區水源路１１號１－４樓
3536031681,大甲王婦產科家庭醫學科診所,診所,04-26863010,台中市大甲區水源路３３８號１．２樓
3836030019,晉安中醫診所,診所,04-26869365,台中市大甲區水源路９０號
5936030219,易春藥局,藥局,04-26873104,台中市大甲區平安里文武路１７８２號
5936030086,金城藥局,藥局,04-26879003,台中市大甲區平安里忠孝街８９號
5936030291,志明藥局,藥局,04-26876221,台中市大甲區民生路２１號
3536030522,岷安診所,診所,04-26873636,台中市大甲區民生路９之２號
3836031392,一品堂大甲中醫診所,診所,04-26885757,台中市大甲區光明路１４０號１樓
3536030424,啟明眼科聯合診所,診所,04-26879311,台中市大甲區光明路７１及７３號
3536030513,昇和聯合診所,診所,04-26874615,台中市大甲區庄美里文武路１９７８號
3536030219,清一診所,診所,04-26863252,台中市大甲區庄美里復興路４０號
3536030120,錫欽診所,診所,04-26815785,台中市大甲區孟春里通天路１７８號
3736031274,寶貝牙牙醫診所,診所,04-26822638,台中市大甲區孟春里通天路２０６號
5936030077,健聖藥局,藥局,04-26813292,台中市大甲區孟春里通天路２２７號
3836030055,德泰中醫診所,診所,04-26816219,台中市大甲區孟春里臨江路１２號
3536030577,上安診所,診所,04-26821377,台中市大甲區孟春里臨江路４０１號
3536030451,琉璃光診所,診所,04-26873051,台中市大甲區岷山里順天路３４２號
5936030095,青三藥局,藥局,04-26817301,台中市大甲區青三路１２巷３８號
3536030380,王登源診所,診所,04-26882620,台中市大甲區南陽里中山路一段５７６號
3836031301,泰乙堂中醫診所,診所,04-26868557,台中市大甲區南陽里水源路１７號
5936031583,日南藥局,藥局,04-26816949,台中市大甲區通天路１７８之１號
3736030160,榮春牙醫診所,診所,04-26810955,台中市大甲區通天路２７４號
3836030073,東仁眼內科中醫診所,診所,04-26874562,台中市大甲區頂店里中山路一段１１５９號
5936030237,三和安藥局,藥局,04-26871634,台中市大甲區頂店里彈正路３３號
3536030433,李婦產科診所,診所,04-26883771,台中市大甲區朝陽里民生路２２之２號
3536030059,吳國祥診所,診所,04-26874550,台中市大甲區朝陽里新政路５號
3736031256,卓越牙醫診所,診所,04-26885563,台中市大甲區朝陽里新政路一七號一樓
3836030091,瑩安中醫診所,診所,04-26875299,台中市大甲區朝陽里鎮政路４０－３號
3536030157,同愛小兒科內科診所,診所,04-26861212,台中市大甲區朝陽里鎮政路４８號
3536030371,周眼科診所,診所,04-26863289,台中市大甲區朝陽里鎮政路５８號
3836031347,同慶堂中醫診所,診所,04-26883008,台中市大甲區順天里文武路１３５號
5936030255,清祥藥局,藥局,04-26874998,台中市大甲區順天里文武路１６１之１號
3736030106,春生牙醫診所,診所,04-26876129,台中市大甲區順天里民生路２２號
3836030064,恆源中醫診所,診所,04-26873390,台中市大甲區順天里光明路２０６號
5936030282,大陽藥局,藥局,04-26872868,台中市大甲區順天里育德路３０號
3536030022,順天診所,診所,04-26868250,台中市大甲區順天里順天路２０９號
3736031238,佳鴻牙醫診所,診所,04-26803338,台中市大甲區順天里蔣公路１８８號
3536030111,大甲志仁外科診所,診所,04-26879387,台中市大甲區順天里蔣公路２３３號
5903030067,甲尚藥局,藥局,04-26760885,台中市大甲區順天路１２８號
3536031805,大元診所,診所,04-26802250,台中市大甲區順天路１３６－１號１樓
3836030171,健安堂中醫診所,診所,04-26870166,台中市大甲區順天路２６６號
3536030611,黃兆聖小兒科診所,診所,04-26764252,"台中市大甲區順天路２９７號１， ２樓及２９９號１樓"
3736030151,維美牙醫診所,診所,04-26884767,台中市大甲區順天路３２４號
5936030479,上慧藥局,藥局,04-26873515,台中市大甲區順天路３４２號
3536030415,李光輝皮膚科診所,診所,04-26880903,台中市大甲區順天路３８３號１樓
5936031574,安新藥局,藥局,04-26764686,台中市大甲區順天路３８５號
3536031798,見安診所,診所,04-26889595,台中市大甲區順天路３９１號
3536030353,張漢昌婦產科診所,診所,04-26817420,台中市大甲區經國路１９７８巷３號
3736030213,普全牙醫診所,診所,04-26870916,台中市大甲區德興路１７３號
5936031707,大甲福倫藥局,藥局,04-26765518,台中市大甲區蔣公路２０２號
3536031850,李家榮耳鼻喉科診所,診所,04-26863368,台中市大甲區蔣公路２１２－１號１樓
3536031832,力倫診所,診所,04-26805889,台中市大甲區蔣公路２４６號１樓
3536030442,信東耳鼻喉科診所,診所,04-26886216,台中市大甲區蔣公路261號
3836031383,仁恩堂中醫診所,診所,04-26801000,台中市大甲區蔣公路４６號
3736030044,建德牙醫診所,診所,04-26872630,台中市大甲區蔣公路７９號
3536031734,小朋友小兒科診所,診所,04-26802025,台中市大甲區蔣公路二五五號
3536031672,吳大維皮膚科診所,診所,04-26800599,台中市大甲區薰風里光明路８３號
3836030037,大仁中醫診所,診所,04-26873313,台中市大甲區薰風里順天路７２號
3736030099,平安牙醫診所,診所,04-26876635,台中市大甲區薰國里光明路６９號
3536031761,宏光診所,診所,04-26882002,台中市大甲區鎮政路６之２號一樓．二樓
3836030028,明德中醫診所,診所,04-26761111,台中市大甲區鎮瀾街１６１號
3536140032,安田診所,診所,04-26713527,台中市大安區中山南路２８１號１樓，２８３號１樓
5936141066,民安藥局,藥局,04-26711077,台中市大安區中山南路２８３號
3736140018,興達牙醫診所,診所,04-26710817,台中市大安區中庄里中山南路２８９號
3536141057,佑安診所,診所,04-26760248,台中市大安區松雅里大安港路６２１號
3736160029,東生牙醫診所,診所,04-26993455,台中市大肚區大肚里沙田路二段６２９號
3536161353,回春診所,診所,04-26992005,台中市大肚區大肚街３７號
3536161326,欣民診所,診所,04-26993299,台中市大肚區沙田路２段６１０號
5936160061,必安藥局,藥局,04-26992116,台中市大肚區沙田路２段６３６號
3536160203,緯廷耳鼻喉科診所,診所,04-26981222,台中市大肚區沙田路２段７６３號
3536161362,合安診所,診所,04-26990505,台中市大肚區沙田路２段７８０號５樓
3536160196,其安診所,診所,04-26935789,台中市大肚區沙田路一段４０４號
3536161273,培安診所,診所,04-26935789,台中市大肚區沙田路一段４０４號
3536161308,明安診所,診所,04-26935789,台中市大肚區沙田路一段４０４號
5936161264,大吉興藥局,藥局,04-26938422,台中市大肚區沙田路一段４５２－１號
3836161144,華良中醫診所,診所,04-26938661,台中市大肚區沙田路一段４７３號１樓
5936161237,同利藥局,藥局,04-26935492,台中市大肚區沙田路一段５０４號
3736161286,博盛牙醫診所,診所,04-26992678,台中市大肚區沙田路二段５９３號１樓
3536160132,大度診所,診所,04-26993637,台中市大肚區沙田路二段６２１號
3836160094,順興堂中醫診所,診所,04-26997763,台中市大肚區沙田路三段３５號
5936160070,彰益藥局,藥局,04-26991255,台中市大肚區沙田路三段５６４號
3536160141,小林診所,診所,04-26998489,台中市大肚區頂街里沙田路二段７２３號
5936160132,大佶安藥局,藥局,04-26992453,台中市大肚區頂街里沙田路二段７３４號
3736160010,大肚李牙醫診所,診所,04-26995050,台中市大肚區頂街里沙田路二段７５６號
3736161277,永康牙醫診所,診所,04-26984633,台中市大肚區頂街里華昌街５６號
3736160154,美倫牙醫診所,診所,04-26913719,台中市大肚區遊園路二段１０１號
3536161344,易昇診所,診所,04-26916066,台中市大肚區遊園路二段１８８號
3536161246,宏耕診所,診所,04-26916598,台中市大肚區遊園路二段３４號
3836161126,惠民中醫診所,診所,04-26936665,台中市大肚區福山里沙田路１段４５２２號１．２樓
5936160025,大新兄弟藥局,藥局,04-26930092,台中市大肚區福山里沙田路１段５００號
3736160038,翁牙醫診所,診所,04-26933019,台中市大肚區福山里沙田路一段４４８號
3736160127,誼和牙醫診所,診所,04-26934399,台中市大肚區福山里沙田路一段４８１號
3536160043,大肚天佑內小兒科診所,診所,04-26930035,台中市大肚區福山里沙田路一段５１０號
3836160021,德昌中醫診所,診所,04-26912137,台中市大肚區蔗□里遊園路二段２０３巷３弄１７號
3536160098,自強診所,診所,04-26914188,台中市大肚區蔗□里遊園路二段２０６號
3736160207,自強牙醫診所,診所,04-26910847,台中市大肚區蔗部里遊園路２段１８１巷２５號
3836160101,漢林中醫診所,診所,04-26914332,台中市大肚區蔗部里遊園路２段２５７號
3536160212,光華診所,診所,04-26910451,台中市大肚區蔗趎里遊園路２段２５５號
5936160105,建昌藥局,藥局,04-26910357,台中市大肚區蔗廓里遊園路二段１６８號
3736160092,松美牙醫診所,診所,04-26914595,台中市大肚區蔗廓里遊園路二段１７５號
3836161135,信華中醫診所,診所,04-26913767,台中市大肚區蔗廓里遊園路二段２６１號１樓
3736200082,楊牙醫診所,診所,04-24921519,台中市大里區上興街２段１７１號
5936200266,金本藥局,藥局,04-24835098,台中市大里區大元里大元路６７１２號
5936209554,陽春堂藥局,藥局,04-24066228,台中市大里區大里里大里街１０３號
3736200224,宏昌牙醫診所,診所,04-24062268,台中市大里區大里里福興街３２號
3836200084,富安中醫診所,診所,04-24832312,台中市大里區大里路１２２號１樓
3736200162,金山牙醫診所,診所,04-24835482,台中市大里區大里路１６號
3836201787,益民中醫診所,診所,04-24850788,台中市大里區大里路３９之１２號
5936200177,天霖藥局,藥局,04-24832481,台中市大里區大里路３９之９號１樓
3736200368,惠群牙醫診所,診所,04-24813516,台中市大里區大里路４３號
3536202519,簡邑軒診所,診所,04-24826128,台中市大里區大里路７８號
3736200733,仁新牙醫診所,診所,04-24822670,台中市大里區大明路１42號
5936200453,慈輝藥師藥局,藥局,04-24876247,台中市大里區大明路２４１號
3536202760,小博仕診所,診所,04-24876666,台中市大里區大明路３０２號
3836202113,大明中醫診所,診所,04-24815675,台中市大里區大明路３９３號１及２樓
3836202202,養慎齋中醫診所,診所,04-24181178,台中市大里區大明路４４６號１樓
3736200135,復興牙醫診所,診所,04-22808038,台中市大里區大智路５２８號
3736200573,台大牙醫診所,診所,04-24067052,台中市大里區大新街２１．２３號
3736201801,大里三合牙醫診所,診所,04-24068285,台中市大里區大新街２４號１，２樓
3736200144,長庚牙醫診所,診所,04-24069033,台中市大里區大新街３１號
593620B165,大仁祥藥局,藥局,04-24814349,台中市大里區大德街８９號１樓
8436200027,行健社區復健中心,康復之家,04-24072413,"台中市大里區中投西路３段２２１,２２５號１樓"
8436200018,大和康復之家,康復之家,04-24072425,台中市大里區中投西路３段２２５號２樓
5936200088,全家藥局,藥局,04-24929976,台中市大里區中興路１段１０９之６號
3536201003,順和眼科診所,診所,04-24930883,台中市大里區中興路１段２６３號
3536202528,安聲耳鼻喉科診所,診所,04-24852301,台中市大里區中興路２段１０９之３號１樓
5936200113,日康藥局,藥局,04-24853368,台中市大里區中興路２段１１１之１號
3536202886,馨禾診所,診所,04-24836086,台中市大里區中興路２段１１１號１樓
593620B012,廣益藥局,藥局,04-24839630,台中市大里區中興路２段１６７號
3536200882,黃耳鼻喉科診所,診所,04-24830888,台中市大里區中興路２段１６９－１號
593620A917,三商藥局,藥局,04-24852072,台中市大里區中興路２段３３３、３３５號１、２樓
3836202122,天真中醫診所,診所,04-24850169,台中市大里區中興路２段３５７、３５９，３５９之１號１樓
3836201572,慶昇中醫診所,診所,04-24838798,台中市大里區中興路２段３８０之１號１樓
1536201065,新菩提醫院,地區醫院,04-24829966,台中市大里區中興路２段６２１號
3736200626,華欣牙醫診所,診所,04-24826851,台中市大里區中興路２段６７５號１及２樓
3736200493,加洲牙醫診所,診所,04-24929147,台中市大里區中興路一段２７７，２７９號
3536202902,向陽皮膚科診所,診所,04-24930493,台中市大里區中興路一段２８１號
3736200126,宏志牙醫診所,診所,04-24837832,台中市大里區中興路二段１９０－３號
3536202564,魏文宏診所,診所,04-24862592,台中市大里區中興路二段２２９號
3836200173,健生堂中醫診所,診所,04-24826126,台中市大里區中興路二段２４７號
3736202013,群恩牙醫診所,診所,04-24865777,台中市大里區中興路二段３１３號２樓
3536201281,柯麗麗婦產科診所,診所,04-24827769,台中市大里區中興路二段３８９號
3536201048,惠和診所,診所,04-24876903,台中市大里區中興路二段５８２號
3836200155,駿發中醫診所,診所,04-24837879,台中市大里區中興路二段６７１巷６２號
3536200686,胡國祥皮膚科診所,診所,04-24864308,台中市大里區中興路二段６８６號
3536202920,羅戊山診所,診所,04-24861279,台中市大里區中興路二段７３１號１樓
3836201643,佰億中醫診所,診所,04-24913012,台中市大里區仁化里仁化路７１２號
5936209689,慈祐藥局,藥局,04-24914799,台中市大里區仁化里成功二路一三０號
3536201076,長青診所,診所,04-24914476,台中市大里區仁化路５８２號１樓
3836201867,仁和中醫診所,診所,04-24924111,台中市大里區仁化路６１６號
3536200864,劉兆平診所,診所,04-24827566,台中市大里區內新里中興路２段４６８號
3836200093,回春堂中醫診所,診所,04-24865812,台中市大里區內新里中興路二段１０３－３、１０５號
3736200064,董牙醫診所,診所,04-24832998,台中市大里區內新里中興路二段２２２．２２４號
3536200284,香光小兒科診所,診所,04-24825105,台中市大里區內新里中興路二段３９２－１號
3536202608,愛欣診所,診所,04-24829641,台中市大里區內新里新南路８７號
7336200015,仁愛醫療財團法人附設大里仁愛護理之家,居家護理,04-24819900,台中市大里區六桂路２２號２．３樓
3836201992,安德中醫診所,診所,04-24876749,台中市大里區文隆街３０號
3536202457,沈宗憲診所,診所,04-24837655,台中市大里區日新里中興路２段７１２號
3836201778,漢生堂中醫診所,診所,04-24861017,台中市大里區日新里中興路２段７７號１樓
3736200582,優良牙醫診所,診所,04-24076966,台中市大里區永明街２７５號
5936200373,永隆藥局,藥局,04-24067388,台中市大里區永隆一街３５號
3836202131,天一中醫診所,診所,04-24064140,台中市大里區永隆二街１８０號１樓
3836202177,永隆堂中醫診所,診所,04-24075793,台中市大里區永隆路１２３號１樓
3736201892,日新牙醫診所,診所,04-24068159,台中市大里區永隆路１６５號１樓
3736201972,啟登牙醫診所,診所,04-24062340,台中市大里區永隆路３７５號１樓
3836200468,頌恩中醫診所,診所,04-24812334,台中市大里區永興路１２９號
3736202022,皓美牙醫診所,診所,04-24817793,台中市大里區永興路２０號
3536202804,台安診所,診所,04-22754666,台中市大里區甲堤南路１１２號
3736200359,立仁牙醫診所,診所,04-22707597,台中市大里區立仁里立仁路１３０號
3836200351,立人堂中醫診所,診所,04-22794096,台中市大里區立仁里立仁路１５０號
3536200917,林漢銀診所,診所,04-22779895,台中市大里區立仁里立新街２２９號
3736200046,正記牙醫診所,診所,04-22782846,台中市大里區立仁里好來二街３４號
3536202653,和杏診所,診所,04-22779595,台中市大里區立仁路１０１號
3536200524,謝家庭醫學科診所,診所,04-22754610,台中市大里區立仁路９７號
5936209769,懷安藥局,藥局,04-22736808,台中市大里區立新街３６９號
3836200057,光明中醫診所,診所,04-24934569,台中市大里區光明路１５６號
3736200662,信賴牙醫診所,診所,04-24922416,台中市大里區成功二路４１號
3536200757,陳建利診所,診所,04-24935145,台中市大里區成功路３８５號１、２樓及３８７號１樓
593620B325,福至藥局,藥局,04-24929116,台中市大里區成功路３８７號
3536202635,朝陽診所,診所,04-24965000,台中市大里區成功路５４３號１．２樓
3536200391,大里陳內小兒科診所,診所,04-24835484,台中市大里區西榮里大里路１９號
3836200511,祐生中醫聯合診所,診所,04-24828991,台中市大里區西榮里大里路１號
3736200117,中心牙醫診所,診所,04-24825760,台中市大里區西榮里中興二段６６３號
3536200471,王金星診所,診所,04-24839981,台中市大里區西榮里中興路２段１５９－１號
3736200715,家恩牙醫診所,診所,04-24831229,台中市大里區西榮里中興路２段２３９號
3536202546,王思為診所,診所,04-24861899,台中市大里區西榮里中興路２段２５１１號
9436200028,保安醫事檢驗所,檢驗所,04-24851116,台中市大里區西榮里中興路２段６４５號
3536200800,蔡景晴婦產科診所,診所,04-24838002,台中市大里區西榮里中興路二段１４５號
5936200257,裕祥藥局,藥局,04-24836389,台中市大里區西榮里中興路二段３３２之７號
5936209483,向生藥局,藥局,04-24832565,台中市大里區西榮里中興路二段４０５號
3736200055,真美牙醫診所,診所,04-24835208,台中市大里區西榮里中興路二段６１７號
3536200088,江萬洲內小兒科診所,診所,04-24851908,台中市大里區西榮里中興路二段６５１號
3536202591,名家皮膚科診所,診所,04-24860608,台中市大里區西榮里東榮路１７．１９號
3736200028,元鴻牙醫診所,診所,04-24820098,台中市大里區西榮里東榮路１８５號
3536200640,李良小兒科診所,診所,04-24810998,台中市大里區西榮里益民路２段１１９號
3736201776,大明牙醫診所,診所,04-24833680,台中市大里區西榮里益民路２段５２之１號
5936209349,添貴藥局,藥局,04-24819353,台中市大里區西榮里益民路二段１１８號
5936209287,德芳大藥局,藥局,04-24815932,台中市大里區西榮里益民路二段３０４號
3536200499,立人耳鼻喉科診所,診所,04-24832555,台中市大里區西榮里益民路二段５５號
3536201343,陳祥雪小兒科診所,診所,04-24850052,台中市大里區西榮里新生西路４２號
3836202140,里仁中醫診所,診所,04-24068220,台中市大里區東里路１０、１２號１樓
3736200242,新美牙醫診所,診所,04-24853680,台中市大里區東昇里益民路一段７４號
3836201796,文宗城中醫診所,診所,04-24862456,台中市大里區東昇里新光路６５號
3536200873,祥安婦產科診所,診所,04-24922626,台中市大里區東湖里中興路１段２７５號
3536200659,楊鴻興診所,診所,04-24929969,台中市大里區東湖里中興路一段１０９－７號
3536200195,福生診所,診所,04-24939691,台中市大里區東湖里中興路一段２２７號
3736200091,鼎好牙醫診所,診所,04-24953100,台中市大里區東湖里中興路一段２６５號
3536200168,江志明內小兒科診所,診所,04-24930233,台中市大里區東湖里中興路一段５３號
3536201156,何延慶婦產科診所,診所,04-24813233,台中市大里區東榮路１５５，１５７號
3536201389,群欣診所,診所,04-24825651,台中市大里區東榮路１６５號
3536202699,曹中傑眼科診所,診所,04-24872486,台中市大里區東榮路２１３，２１５號
3836200048,德明中醫診所,診所,04-24837040,台中市大里區東榮路２１７號
3536201129,江耳鼻喉科診所,診所,04-24818345,台中市大里區東榮路３２４號
3536202797,王志中診所,診所,04-24823855,台中市大里區東榮路３３８號
3536202813,聖心診所,診所,04-24872100,台中市大里區東榮路３５０號１樓
1136200015,仁愛醫療財團法人大里仁愛醫院,區域醫院,04-24819900,台中市大里區東榮路４８３號
3836202024,黃昭欽中醫診所,診所,04-24079083,台中市大里區東榮路５９０號１樓
3536202466,祐民診所,診所,04-24823568,台中市大里區東興里永興路１８６號
3536200300,祐生診所,診所,04-24814981,台中市大里區東興里東明路２３１號
3836201698,仁一中醫診所,診所,04-24870369,台中市大里區東興里東明路２７１號
3736200251,祥恩牙醫診所,診所,04-24819396,台中市大里區東興里東明路２９６號
3836201732,正道中醫診所,診所,04-24822099,台中市大里區東興里東榮路４３０號
3536202573,顏安耳鼻喉科診所,診所,04-24872999,台中市大里區東興里益民路二段３１７號
593620A891,御和藥局,藥局,04-24821555,台中市大里區東興里益民路二段３２３號
3736200475,全育牙醫診所,診所,04-24810136,台中市大里區東興里益民路二段３３３１，３３３２號
3836200486,宏仁中醫診所,診所,04-24068459,台中市大里區東興里爽文路９０９號
5936200168,英吉藥局,藥局,04-24925962,台中市大里區金城里上興街二段４６號
3536200220,祥全診所,診所,04-24922100,台中市大里區金城里中興路一段３２０號
3736200199,莊牙醫診所,診所,04-24920474,台中市大里區金城里中興路一段３２０號
3736200108,大里黃牙醫診所,診所,04-24929528,台中市大里區金城里塗城路７０２巷２號
3536200266,林輝雲診所,診所,04-24936567,台中市大里區金城里塗城路７１３巷１６號
3836200128,基華內針灸科中醫診所,診所,04-24939088,台中市大里區金城里塗城路７２２號
3736200171,建安牙醫診所,診所,04-24927922,台中市大里區金城里塗城路７３５巷３２弄８號
3836200191,高田中醫診所,診所,04-24932029,台中市大里區金城里塗城路８０２號
5936200293,吉立藥局,藥局,04-24922875,台中市大里區金城里塗城路９１７號
3536200122,益民診所,診所,04-24920481,台中市大里區金城里塗城路９３１號
5936200220,友信藥局,藥局,04-24921505,台中市大里區金城里萬壽街１９號
593620B316,華信藥局,藥局,04-24872992,台中市大里區益民路２段１２號１樓
3736201936,遠傳牙醫診所,診所,04-24853333,台中市大里區益民路２段１８３及１８５號１樓
3736201810,時代牙醫診所,診所,04-24824182,台中市大里區益民路２段２７３號
3736200340,現代牙醫診所,診所,04-24831323,台中市大里區益民路２段２７號
3536201334,江宗龍小兒科診所,診所,04-24821555,台中市大里區益民路２段３２３號
3836202195,元安堂中醫診所,診所,04-24873299,台中市大里區益民路二段１５２之１號１樓
3536200588,吳文正診所,診所,04-24811500,台中市大里區益民路二段１７９號１至３樓
3836200388,錫安中醫診所,診所,04-24820576,台中市大里區益民路二段１９８之３號
3736202040,全家牙醫診所,診所,04-24823777,台中市大里區益民路二段２５８號
3536202662,李文軒耳鼻喉科診所,診所,04-24872898,台中市大里區益民路二段２７１號
3836201910,普門堂中醫診所,診所,04-24811181,台中市大里區益民路二段３１１號１樓
5936200042,永全藥局,藥局,04-23341778,台中市大里區健民里健民路５０號
3836201983,德彥中醫診所,診所,04-24835519,台中市大里區國光里德芳南一街３０號１樓
8536200010,衛生福利部草屯療養院附設生活旗艦店社區復健中心,康復之家,04-24820488,台中市大里區國光路２段５００號２樓
3536202831,雄安骨科診所,診所,04-24823000,台中市大里區國光路２段６３８號１．２樓
3536202742,佳仁內科診所,診所,04-24824066,台中市大里區國光路二段５００號３樓
3836202186,朱全業中醫診所,診所,04-24071483,台中市大里區爽文路１１７１號１樓
3536202751,黃敬棟診所,診所,04-24079975,台中市大里區爽文路７５２號２樓
593620B138,聯生中西健保藥局,藥局,04-24834058,台中市大里區現岱路１５８巷１１號
3836201527,慈佑中醫診所,診所,04-24831186,台中市大里區勝利２路９７號
3736200377,大仁牙醫診所,診所,04-24954119,台中市大里區塗城路４２７號
3536200542,大嘉診所,診所,04-24925776,台中市大里區塗城路５２１號
3536202895,塗城光明眼科診所,診所,04-24966336,台中市大里區塗城路５３２號１樓
3536202555,顧耳鼻喉科診所,診所,04-24966988,台中市大里區塗城路５４６號
593620A935,成功藥局,藥局,04-24964323,台中市大里區塗城路５４８號
3836201929,大里廣濟中醫診所,診所,04-24939555,台中市大里區塗城路５５９號１，２樓
593620B183,綠洲藥局,藥局,04-24932626,台中市大里區塗城路６０３號
3736200635,誠安牙醫診所,診所,04-24924006,台中市大里區塗城路６８７號
3836200299,福祥中醫診所,診所,04-24930132,台中市大里區塗城路６９７號
3736201874,新欣牙醫診所,診所,04-24939922,台中市大里區塗城路８２０、８２２及８２４號
3536201110,楊文澤小兒科診所,診所,04-24930319,台中市大里區塗城路８６４號
5936200480,佳霖藥局,藥局,04-24960895,台中市大里區塗城路９６４號
3536202911,范振杰耳鼻喉科診所,診所,04-24950295,台中市大里區塗城路９６６號１樓
3736201981,美德牙醫診所,診所,04-24966788,台中市大里區慈德街１５８號
3736200037,新仁牙醫診所,診所,04-22776525,台中市大里區新仁七街１－２號
3736200206,全民牙醫診所,診所,04-22783515,台中市大里區新仁里立仁路４３－２號
3836200020,佳德中醫診所,診所,04-22708246,台中市大里區新仁里立仁路７７號
