,54be8165-4900-4665-b63f-5956d38a10d1
ACARBOSE,54be8162-7c38-4047-b682-5956d38a10d1
ACEBUTOLOL,54be817b-2574-4acf-95f5-5956d38a10d1
"ACEBUTOLOL (HCL)",54be8162-c3a4-4150-b0e1-5956d38a10d1
"ACEBUTOLOL HCL",54be8165-6d58-40f8-bf60-5956d38a10d1
ACECLOFENAC,54be8164-a364-4bcf-a45d-5956d38a10d1
"ACEDIA SULFONE",54be8162-0930-48cc-9cec-5956d38a10d1
"ACEDIA SULFONE SODIUM",54be8162-1974-4f92-aa1a-5956d38a10d1
ACEGLATONE,54be8168-5d3c-4210-955c-5956d38a10d1
ACEMETACIN,54be8167-08ec-4fbc-9af8-5956d38a10d1
ACETAMIDE,54be8178-3814-41c9-b682-5956d38a10d1
"ACETAMIDOCAPROIC ACID -EPSILON (ACEXAMIC ACID)",54be8162-053c-4089-b769-5956d38a10d1
"ACETAMINOPHEN (DENSE POWDER)",54be8167-dc90-4f96-9832-5956d38a10d1
"ACETAMINOPHEN (EQ TO PARACETAMOL)",54be8162-2d6c-45c7-94a4-5956d38a10d1
"ACETAMINOPHEN 90%",54be8168-7210-42db-b5ee-5956d38a10d1
"ACETAMINOPHEN COATED WITH HPMC 2910 AND STEARIC ACID (100:1.06:5.32)",54be817a-1a08-4b09-8bcd-5956d38a10d1
"Acetaminophen Crystal",54be817e-05dc-4f27-b55d-5956d38a10d1
"ACETAMINOPHEN FINE",54be8174-08f4-4ed5-abd6-5956d38a10d1
"ACETAMINOPHEN MICRONIZED",54be8168-ebec-4a49-81ae-5956d38a10d1
"ACETAMINOPHEN T/M",54be8176-8c38-4ba0-a259-5956d38a10d1
ACETANILIDE,54be8175-cff4-40bf-aa58-5956d38a10d1
ACETATE,54be8164-9d2c-4f09-b94c-5956d38a10d1
"ACETATE ION",54be8167-43dc-4918-90d5-5956d38a10d1
"ACETATE VINYL RESIN",54be8173-dc28-4df4-9f92-5956d38a10d1
ACETAZOLAMIDE,54be8162-fd30-48eb-a27b-5956d38a10d1
"ACETIC ACID",54be8162-306c-4ba5-9dbd-5956d38a10d1
"ACETIC ACID GLACIAL( eq to  GLACIAL ACETIC ACID)",54be8162-3d0c-4418-821d-5956d38a10d1
ACETOHEXAMIDE,54be816b-0734-4d51-ab76-5956d38a10d1
ACETONE,54be8165-37ec-4148-a510-5956d38a10d1
"ACETRIZOATE MEGLUMINE",54be816a-55b0-4af0-a281-5956d38a10d1
"ACETUM SCILLAE",54be816b-2570-4bb2-b2a8-5956d38a10d1
"ACETYL LEUCOMYCIN",54be8165-b6c0-4288-8f3e-5956d38a10d1
"ACETYL METHIONINE DL-",54be816f-5480-4d48-8a56-5956d38a10d1
"ACETYL PHENOLPHTHALEIN",54be8170-ca0c-41de-9bfb-5956d38a10d1
"ACETYL SULFISOXAZOLE",54be8167-5d6c-40d8-aacd-5956d38a10d1
"ACETYL TRYPTOPHAN",54be8165-a97c-4b05-9c9e-5956d38a10d1
"ACETYL TRYPTOPHAN DL-",54be8162-6f94-4ddb-8c97-5956d38a10d1
"ACETYLCHOLINE CHLORIDE",54be8168-cf7c-4294-9a43-5956d38a10d1
ACETYLCYSTEINE,54be8162-ee8c-49d4-90f3-5956d38a10d1
"ACETYLCYSTEINE (EQ TO THIAMPHENICAL GLYCINATE)",54be8165-ed88-4c73-95a6-5956d38a10d1
"ACETYLDIGOXIN ALPHA-",54be8166-fe68-4a4e-bb41-5956d38a10d1
"ACETYLDIGOXIN BETA-",54be817b-37a0-478e-8763-5956d38a10d1
ACETYLPHENETURIDE,54be816e-4fc0-448b-abde-5956d38a10d1
"ACETYLSALICYLATE (LYSINE)",54be8165-47f8-4328-b479-5956d38a10d1
"ACETYLSALICYLIC ACID",54be8162-d658-4790-b43d-5956d38a10d1
ACETYLSULFISOMEZOLE,54be816f-a6b8-40aa-8bc6-5956d38a10d1
"ACEXAMIC ACID",54be816d-1fbc-4180-948b-5956d38a10d1
"ACHYRANTHIS RADIX EXTRACT",54be8166-e040-49cd-bd89-5956d38a10d1
"ACHYRANTHIS RADIX EXTRACT POWDER",54be8166-64ac-411a-bb76-5956d38a10d1
ACIDASE,54be817b-6654-477b-93d7-5956d38a10d1
ACIPIMOX,54be8168-6f78-48e9-87d4-5956d38a10d1
"ACITRETIN ( SPRAY DRY POWDER 25%,IN GELATIN 27%,GLUCOSE,LIQUID,SPRAY-DRIED 41%,SODIUM ASCORBATE 7%)",54be8166-cf40-4b9c-b11c-5956d38a10d1
"ACLARUBICIN (HCL)",54be8178-74d8-436d-93df-5956d38a10d1
ACRIFLAVINE,54be8162-90d4-465c-ab48-5956d38a10d1
ACRISORCIN,54be8162-f82c-43b1-8892-5956d38a10d1
ACRIVASTINE,54be8175-2fcc-450f-9526-5956d38a10d1
"ACRYLATE COPOLYMER",54be816f-48c4-4143-a426-5956d38a10d1
"ACT-AL EQUIVALENT TO ALUMINUM HYDROXIDE",54be8168-68f4-4893-80a6-5956d38a10d1
ACYCLOVIR,54be8162-3698-4f91-9e37-5956d38a10d1
"ACYCLOVIR MICRONIZED",54be8162-3710-4dd1-aa54-5956d38a10d1
"ADA HYDROLYZID BRAIN EXTRACT",54be817a-77ac-4d00-a74b-5956d38a10d1
ADALIMUMAB,54be8178-7fc8-4a3d-afe6-5956d38a10d1
ADAPALENE,54be8163-da58-47c3-a444-5956d38a10d1
"ADEFOVIR DIPIVOXIL",54be8162-eb0c-44fe-8fcf-5956d38a10d1
ADENINE,54be8165-7738-4bd0-bb46-5956d38a10d1
"ADENINE (PHOSPHATE)",54be8172-3d84-403b-885f-5956d38a10d1
"ADENINE HCL",54be816d-4774-489d-b960-5956d38a10d1
ADENOSINE,54be8165-3710-4caf-a161-5956d38a10d1
"ADENOSINE 5-TRIPHORIC ACID",54be8177-0c2c-4c2f-8c92-5956d38a10d1
"ADENOSINE DIPHOSPHATE",54be8169-2f88-4301-a547-5956d38a10d1
"ADENOSINE PHOSPHATE",54be8164-6804-442e-ae8e-5956d38a10d1
"ADENOSINE PHOSPHATE SODIUM",54be8163-48dc-431c-8f35-5956d38a10d1
"ADENOSINE TRIPHOSPHATE",54be816a-ee5c-4b14-9411-5956d38a10d1
"ADENOSINE TRIPHOSPHATE (SODIUM)",54be817d-14c8-47f4-9ebd-5956d38a10d1
"ADENOSINE TRIPHOSPHATE DISODIUM",54be8164-3238-4f83-ba80-5956d38a10d1
"ADENOSINE TRIPHOSPHATE DISODIUM DIHYDRATE",54be8168-cd9c-45a2-8b65-5956d38a10d1
"ADENOSINE TRIPHOSPHATE SODIUM",54be8165-8730-451d-92aa-5956d38a10d1
ADEPS,54be8176-3918-41ef-97f4-5956d38a10d1
"ADHESIVE MASS",54be8177-b788-4443-8b10-5956d38a10d1
"ADLAY SEED POWDER",54be816e-32a4-4dba-8884-5956d38a10d1
"ADONIS EXTRACT",54be8165-5148-4712-a240-5956d38a10d1
"ADONIS VERNALIS",54be816c-1010-4d90-9818-5956d38a10d1
"ADRENALINE TARTRATE",54be816f-5eb0-4f69-ac1a-5956d38a10d1
AEROSIL,54be8175-c23c-4162-bafb-5956d38a10d1
AESCULIN,54be8173-7904-40e3-bde8-5956d38a10d1
"AESCULUC HIPPOCASTANUM",54be817d-e4c0-4956-a2f8-5956d38a10d1
"AESCULUS HIPPOCASTANUM",54be8168-53fc-4d90-b4e7-5956d38a10d1
"AESCULUS HIPPOCASTANUM L EXTRACT",54be8162-0ccc-4b3d-a3be-5956d38a10d1
"AESCULUS HIPPOCASTANUM L SEED EXTRACT",54be8167-59cc-44a6-8f7a-5956d38a10d1
"Afatinib dimaleate",54be8177-5244-4de9-b7c6-5956d38a10d1
Aflibercept,54be817f-9ec8-4653-904a-5956d38a10d1
"AGALSIDASE ALFA",54be816c-bea8-486e-a9b3-5956d38a10d1
"AGALSIDASE BETA",54be816c-dd20-45d3-be38-5956d38a10d1
"AGGLUTINOGENS FIMBRIAE 2+3",54be817e-0d20-449b-b3dc-5956d38a10d1
AGOMELATINE,54be8172-878c-4ccf-8049-5956d38a10d1
"AIK-C LIVE TISSUE CULTURE",54be817d-2a78-4612-bcb8-5956d38a10d1
"AJMALICINE (RAUBASINE)",54be8172-1798-4bfc-a213-5956d38a10d1
AJMALINE,54be8162-1ff4-4f05-8164-5956d38a10d1
"AJMALINE HCL",54be8163-f9d0-4869-a744-5956d38a10d1
AL5MG10(OH)31(SO4)2,54be816f-d32c-48c4-91c8-5956d38a10d1
ALANINE,54be8162-6aa8-457c-8eea-5956d38a10d1
"ALANINE DL-",54be8164-8d28-4212-9b48-5956d38a10d1
ALANTOIN,54be8165-64d0-4499-b5cb-5956d38a10d1
ALBUMEN,54be8172-1a10-4dad-ab8d-5956d38a10d1
ALBUMIN,54be8171-2dd8-4f57-aa62-5956d38a10d1
"ALBUMIN HUMAN",54be8164-a324-4706-871c-5956d38a10d1
"ALBUMIN HUMAN FRACTION",54be8162-5c0c-456e-8772-5956d38a10d1
"ALBUMIN HUMAN FRACTION V",54be816c-fcb0-4c35-aae7-5956d38a10d1
"ALBUMIN HUMAN NORMAL SERUM",54be8162-f95c-4251-ac0d-5956d38a10d1
"ALBUMIN HUMAN SERUM",54be8167-24b0-42fd-b677-5956d38a10d1
"ALBUMIN SERUM",54be8167-2988-4920-a59e-5956d38a10d1
"ALBUMIN TANNATE (TANNALBIN)",54be8164-fc4c-4730-81ec-5956d38a10d1
"ALBUTEROL (SALBUTAMOL)",54be8163-5b34-474c-b6e1-5956d38a10d1
ALCAMAC,54be8164-380c-4e6d-98a9-5956d38a10d1
ALCLOFENAC,54be8166-ce08-431a-ba6d-5956d38a10d1
"ALCOHOL (ETHYL ALCOHOL, 190 PROOF)",54be8174-9064-4c97-8d6e-5956d38a10d1
"ALCOHOL 95% ( EQ TO ETHANOL 95%)",54be8167-1cf0-40f8-9372-5956d38a10d1
"ALCOHOL ABSOLUTE (EQ TO ALCOHOL DEHYDRATED)(EQ TO ETHANOL ABSOLUTE OR ABSOLUTE ETHANOL)",54be8164-8d9c-4547-bc7a-5956d38a10d1
"ALCOHOL ANHYDROUS (ETHANOL DEHYDRATED)",54be8162-df6c-4a9a-8c73-5956d38a10d1
"ALCOHOL DENATURED",54be816f-4fc8-43e6-a87c-5956d38a10d1
"ALCURONIUM DICHLORIDE",54be8163-0bcc-411d-9d00-5956d38a10d1
ALDESLEUKIN,54be8173-d3c4-4f86-8958-5956d38a10d1
"ALENDRONATE (AS SODIUM)",54be8164-8108-4e3f-9628-5956d38a10d1
"ALENDRONATE SODIUM",54be8163-2018-4f1a-abf2-5956d38a10d1
"ALENDRONATE SODIUM MONOHYDRATE",54be8173-72d8-4ee2-ba96-5956d38a10d1
"ALENDRONATE SODIUM TRIHYDRATE",54be816d-099c-4aca-91e2-5956d38a10d1
"ALENDRONIC ACID",54be8163-d780-4536-bcb9-5956d38a10d1
"ALEURITES OIL",54be8177-e960-47ad-a874-5956d38a10d1
ALFACALCIDOL,54be8162-1e44-4ce5-b35d-5956d38a10d1
"ALFADOLONE ACETATE",54be8177-0300-4c4e-9218-5956d38a10d1
ALFALFA,54be8165-3914-4219-9bb1-5956d38a10d1
"ALFALFA LEAF",54be8164-9364-4ed4-832f-5956d38a10d1
"ALFALFA POWDER",54be8179-d4a0-4073-a65c-5956d38a10d1
ALFAXALONE,54be8177-f428-48ac-b776-5956d38a10d1
"ALFENTANIL HCL",54be8163-d0d4-49f0-8432-5956d38a10d1
"ALFUZOSIN HYDROCHLORIDE",54be8162-77fc-4773-bf23-5956d38a10d1
"ALGELDRATE (DRIED ALUMINUM HYDROXIDE)",54be8172-d4a8-4363-b9be-5956d38a10d1
"ALGESTONE ACETOPHENIDE (DIHYDROXYPROGESTERONE ACE",54be8179-6c8c-4d3e-8a5f-5956d38a10d1
ALGIN,54be8163-3384-43c5-93e4-5956d38a10d1
"ALGINATE SODIUM",54be8172-976c-418b-99db-5956d38a10d1
"ALGINIC ACID",54be8168-3194-4cdf-9919-5956d38a10d1
"ALIMEMAZINE (AS ALIMEMAZINE TARTRATE)",54be8164-1980-4446-a4e9-5956d38a10d1
ALISAM,54be816f-2040-42b6-b6c8-5956d38a10d1
"ALISKIREN HEMIFUMARATE",54be8163-d850-478f-b710-5956d38a10d1
ALIZAPRIDE(HYDROCHLORIDE),54be816b-5814-4cb5-a26f-5956d38a10d1
"ALKALINE EARTHY CARBONATE AND SULFATES",54be817d-bd40-41b8-8783-5956d38a10d1
"ALKALINE PHOSPHATASE CONJUGATE",54be816e-a054-4055-908b-5956d38a10d1
"ALKALINE-CITRATES &TARTRATES",54be817d-d064-4cbc-a466-5956d38a10d1
"ALKYL POLYAMINOETHYLGLYCINE HCL",54be8165-964c-4eff-8e41-5956d38a10d1
"ALKYLARYL POLYETHER ALCOHOL",54be817b-3b14-4da8-b5d1-5956d38a10d1
"ALKYLARYL SULFONATE",54be817e-9eac-4bc5-b1f1-5956d38a10d1
"ALKYLBENZYLDIETHYLETHANOL AMMONIUM CHLORIDE",54be817e-a738-4d21-bce9-5956d38a10d1
"ALKYLTRIMETHYL AMMONIUM BROMIDE",54be8166-dabc-496e-931d-5956d38a10d1
ALLANTOIN,54be8162-9388-4a0d-acad-5956d38a10d1
"ALLERGEN (ALTERNARIA KIKUCHIANA EXTRACT)",54be8168-d7e4-48e6-a438-5956d38a10d1
"ALLERGEN (ASPERGILLUS FUMIGATUS EXTRACT)",54be8168-f33c-49db-a036-5956d38a10d1
"ALLERGEN (BOS TAURUS &BOS INDICUS EXTRACT)",54be816d-0560-4e76-a154-5956d38a10d1
"ALLERGEN (BUCKWHEAT FLOUR EXTRACT)",54be816d-e824-40ea-bdd1-5956d38a10d1
"ALLERGEN (CANDIDA ALBICANS EXTRACT)",54be8168-e52c-41af-9c2c-5956d38a10d1
"ALLERGEN (CAT HAIR EXTRACT)",54be816d-6ee8-4130-8474-5956d38a10d1
"ALLERGEN (CEDAR POLLEN EXTRACT)",54be816d-c1b8-49c2-8643-5956d38a10d1
"ALLERGEN (CLADOSPORIUM CLADOSPORIOIDES EXTRACT)",54be8168-01b0-47cb-86f5-5956d38a10d1
"ALLERGEN (CLUPEIDAE & STOLEPHORIDAE EXTRACT)",54be816e-2fd4-4a40-a47f-5956d38a10d1
"ALLERGEN (COTTON EXTRACT)",54be816d-3ce8-4ac9-9670-5956d38a10d1
"ALLERGEN (DECAPODA EXTRACT)",54be816d-1d80-4e4c-9d57-5956d38a10d1
"ALLERGEN (DECAPODA NATANTIA MACRURA EXTRACT)",54be816e-fb18-4926-b5de-5956d38a10d1
"ALLERGEN (DECOPODA BRACHYURA EXTRACT)",54be816d-2504-4eed-b9ab-5956d38a10d1
"ALLERGEN (DOG HAIR)",54be816d-cf64-4465-addb-5956d38a10d1
"ALLERGEN (EGG WHITE EXTRACT)",54be816d-dd10-4bb7-b18a-5956d38a10d1
"ALLERGEN (EGG YORK EXTRACT)",54be816d-7fb4-44c6-bb54-5956d38a10d1
"ALLERGEN (FEATHERS EXTRACT)",54be816d-4d50-4171-9942-5956d38a10d1
"ALLERGEN (HOUSE DUST EXTRACT)",54be816e-6408-4bd7-89a3-5956d38a10d1
"ALLERGEN (KONNYAKU FLOUR EXTRACT)",54be816d-ca14-4550-85f1-5956d38a10d1
"ALLERGEN (LYCOPERSICON ESCULENTUM MILT EXTRACT)",54be816d-f8f4-4339-a2ae-5956d38a10d1
"ALLERGEN (MILK EXTRACT)",54be816d-5ee4-4c86-9584-5956d38a10d1
"ALLERGEN (ORCHARD GRASS POLLEN EXTRACT)",54be816d-901c-47ac-8116-5956d38a10d1
"ALLERGEN (OSTREA EXTRACT)",54be816d-0034-4a08-8b2e-5956d38a10d1
"ALLERGEN (PENICILLIUM LUTEUM EXTRACT)",54be8168-0fc0-4829-8f86-5956d38a10d1
"ALLERGEN (PINUS THUMBERGII POLLEN EXTRACT)",54be816d-a084-4015-b347-5956d38a10d1
"ALLERGEN (RAPHANUS SATIVUS L. EXTRACT)",54be816d-0bb4-410c-ae81-5956d38a10d1
"ALLERGEN (RED PINE POLLEN EXTRACT)",54be8173-2160-442d-86ab-5956d38a10d1
"ALLERGEN (REDWEED POLLEN)",54be8174-33e0-4b7c-b5a1-5956d38a10d1
"ALLERGEN (RICE EXTRACT)",54be816d-1bb4-4641-a916-5956d38a10d1
"ALLERGEN (SODIUM PARA-AMINOHIPPURATE)",54be816f-46e4-42b6-adca-5956d38a10d1
"ALLERGEN (SPINACH POLLEN EXTRACT)",54be816d-b40c-44f3-a41f-5956d38a10d1
"ALLERGEN (SUS SCROFA EXTRACT)",54be816d-1ed8-4fe9-9481-5956d38a10d1
"ALLERGEN (TATAMI EXTRACT)",54be816d-d690-4ce8-993e-5956d38a10d1
"ALLERGEN (THUNIDAE EXTRACT)",54be816e-14e0-4107-87de-5956d38a10d1
"ALLERGEN (WHEAT FLOUR EXTRACT)",54be816d-0ae8-4848-aab2-5956d38a10d1
"ALLERGEN (WHOLE EGG EXTRACT)",54be816d-f9b8-45a0-ac5b-5956d38a10d1
ALLICOSID,54be8165-ea40-4efc-996f-5956d38a10d1
"ALLIUM SATIVUM ESSENTIAL OIL",54be8165-ca1c-47a4-99bb-5956d38a10d1
ALLOBARBITAL,54be8168-1490-4eb5-8e2e-5956d38a10d1
"ALLOBARBITAL SODIUM",54be817a-4268-4f57-a635-5956d38a10d1
ALLOPURINOL,54be8162-d234-493d-9454-5956d38a10d1
ALLOPYRABITAL,54be816c-7430-4c19-a8ed-5956d38a10d1
ALLYLESTRENOL,54be8168-9c24-4c23-b6a5-5956d38a10d1
ALMINOPROFEN,54be8166-c488-46bf-ae12-5956d38a10d1
"ALMOND OIL",54be816b-a798-4a6d-b5ba-5956d38a10d1
ALOE,54be816b-c9c4-46d1-b963-5956d38a10d1
"ALOE EXTRACT WATER SOLUBLE",54be8171-f168-4345-8daa-5956d38a10d1
"ALOE POWDER (EQ TO POWDERED ALOE)",54be8164-6384-445c-ab80-5956d38a10d1
"Alogliptin benzoate",54be8162-c94c-44dc-b76f-5956d38a10d1
"ALPHA-(HYDROXY-1-CYCLOESIL)-BUTYRATE NICOTINAMIDE",54be817f-b89c-44d4-a99a-5956d38a10d1
"ALPHA-HYDROXYMETHIONINE CALCIUM SALT",54be8173-b884-4238-b32d-5956d38a10d1
"ALPHA-KETOISOLEUCINE CALCIUM SALT",54be8173-12e4-4fe0-8dc2-5956d38a10d1
"ALPHA-KETOLEUCINE CALCIUM SALT",54be8173-4de0-4a64-a586-5956d38a10d1
"ALPHA-KETOPHENYLALANINE CALCIUM SALT",54be8173-699c-4e12-ac78-5956d38a10d1
"ALPHA-KETOVALINE CALCIUM SALT",54be8173-8a08-4a0d-bfc4-5956d38a10d1
ALPRAZOLAM,54be8163-fc78-46ab-a519-5956d38a10d1
"ALPRENOLOL HCL",54be8162-91a8-41a3-a870-5956d38a10d1
"ALPROSTADIL (PGE1)",54be8165-3d1c-491d-b9a9-5956d38a10d1
"ALPROSTADIL ALPHA-CYCLODEXTRIN CLATHRATE",54be8165-a488-4b13-ac07-5956d38a10d1
"ALRANT PERIC",54be8173-1474-410e-a9ce-5956d38a10d1
ALSOL,54be8172-31a4-44e0-a7cf-5956d38a10d1
"ALUMINA HYDRATED POWDER SPRAY DRIED",54be817c-f274-4d5b-8179-5956d38a10d1
"ALUMINIUM (FROM ALUMINIUM HYDROXIDE AND ALUMINIUM PHOSPHATE)",54be8171-1e2c-4af1-b225-5956d38a10d1
"ALUMINIUM HYDROXIDE EXPRESSED AS AL",54be816c-60a0-4f7e-8c8e-5956d38a10d1
"ALUMINIUM PHOSPHATE DRIED GEL",54be8163-e82c-4b7a-ba1b-5956d38a10d1
"ALUMINOSALICYLATE CALCIUM",54be8165-c440-4fb6-b349-5956d38a10d1
ALUMINUM,54be8164-3e10-4aee-9a5d-5956d38a10d1
"ALUMINUM (ACETYL SALICYLATE)",54be816a-8858-470e-96b8-5956d38a10d1
