藥品分類分組名稱,醫令申報數量
"DICYCLOMINE 2.00MG/GM + BUTYLSCOPOLAMINE 2.00MG/GM + MAGNESIUM ALUMINUMHYDROXIDE CO-DRIED GEL 350.00MG/GM  + MAGNESIUM OXIDE 40.00MG/GM +CHLORDIAZEPOXIDE 5.00MG/GM + CHLOROPHYLL SODIUM COPPER 3.00MG/GM, 口服顆粒劑,1.00GM",38838
"DICYCLOMINE 2.00MG + BUTYLSCOPOLAMINE 2.00MG + CHLORDIAZEPOXIDE 5.00MG +MAGALDRATE 350.00MG + MAGNESIUM 40.00MG + ALUMINUM SILICATE 60.00MG, 一般錠劑膠囊劑,",1929066
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUMSILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLLSODIUM COPPER 3MG, 一般錠劑膠囊劑,",14464622
"DICYCLOMINE 1MG + SCOPOLAMINE 1MG + CHLORDIAZEPOXIDE 2.5MG + ALUMINUMSILICATE 30MG + MAGALDRAT 175MG + MAGNESIUM OXIDE 20MG + CHLOROPHYLLSODIUM COPPER 1.5MG, 一般錠劑膠囊劑,",23
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",110
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",10954302
"ESOMEPRAZOLE , 注射劑 , 40.00 MG",14662
"FAMOTIDINE , 一般錠劑膠囊劑 , 20.00 MG",3990724
"FAMOTIDINE , 一般錠劑膠囊劑 , 40.00 MG",587801
"FAMOTIDINE , 口服顆粒劑 , 20.00 MG",525462
"FAMOTIDINE , 注射劑 , 20.00 MG",418969
"FAMOTIDINE , 注射劑 , 100.00 MG",1103
"GEFARNATE , 一般錠劑膠囊劑 , 50.00 MG",534521
"GEFARNATE , 一般錠劑膠囊劑 , 100.00 MG",1183520
"HISTIDINE , 一般錠劑膠囊劑 , 200.00 MG",5
"HISTIDINE , 注射劑 , 200.00 MG",14833
"homatropine 1-1.25mg + aluminum hydroxide 0-300mg, 一般錠劑膠囊劑",6993069
"HOMATROPINE 2MG/GM + MAGALDRATE 400MG/GM + MAGNESIUM TRISILICATE 300MG/GM,口服顆粒劑, 1.00GM",1680212
"HOMATROPINE 2.4MG + MAGALDRATE 400MG + MAGNESIUM TRISILICATE 300MG, 一般錠劑膠囊劑,",8836577
"HOMATROPINE 1.2MG + MAGALDRATE 200MG + MAGNESIUM TRISILICATE 150MG, 一般錠劑膠囊劑,",6255
"HOMATROPINE 2.5MG + ALUMINUM HYDROXIDE 320MG + BENZOCAINE 64MG +PHENOBARBITAL 8MG, 一般錠劑膠囊劑,",726305
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 15.00 MG",4192
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 30.00 MG",13447938
"MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG, 一般錠劑膠囊劑,",22136
"MAGALDRATE 100MG + SULCAIN 100MG, 一般錠劑膠囊劑,",3393
"MAGNESIUM ALUMINUM BISMUTH SILICATE , 一般錠劑膠囊劑 , 500.00 MG",6539
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",38583471
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 324.00 MG",8144445
"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",281371695
"METHYLMETHIONINE , 一般錠劑膠囊劑 , 25.00 MG",659883
"MISOPROSTOL , 一般錠劑膠囊劑 , 200.00 MCG",133668
"NIZATIDINE , 一般錠劑膠囊劑 , 150.00 MG",39966
"OMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",4498579
"OMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",182996
"OMEPRAZOLE , 注射劑 , 40.00 MG",734857
"OXETHAZAINE 5MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",4477540
"OXETHAZAINE 5MG + ALUMINUM SILICATE 100MG, 一般錠劑膠囊劑,",7383475
"OXETHAZAINE 5MG + POLYMIGEL 244MG, 一般錠劑膠囊劑,",62177713
"OXETHAZAINE 10MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",11934447
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 1.00ML",2701708
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 200.00ML",121
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 360.00ML",115363
"OXETHAZAINE 5MG + ALUMINUM HYDROXIDE 124.9MG + MAGNESIUM CARBONATE83.8MG, 一般錠劑膠囊劑,",26448094
"OXETHAZAINE 10MG + POLYMAGAL 400MG + GLYCYRRHIZIC ACID 10MG, 一般錠劑膠囊劑,",8533451
"PANTOPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",7007439
"PANTOPRAZOLE , 注射劑 , 40.00 MG",392172
"PIPERILATE 1.5MG + ALUMINUM MAGNESIUM SILICATE 147.5MG + GLYCYRRHIZIC ACID35MG, 一般錠劑膠囊劑,",986210
"PIPERILATE 6MG/GM + ALUMINUM MAGNESIUM SILICATE 590MG/GM + GLYCYRRHIZICACID 140MG/GM, 口服顆粒劑, 1.00GM",896155
"PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG+ HISTIDINE 30MG, 一般錠劑膠囊劑,",17447
"PIRENZEPINE , 一般錠劑膠囊劑 , 25.00 MG",365050
"PIRENZEPINE , 注射劑 , 10.00 MG",15
"POLYMAGAL 100MG + SULCAIN 100MG, 一般錠劑膠囊劑,",12682678
"PROGLUMIDE , 一般錠劑膠囊劑 , 200.00 MG",18
"PROPANTHELINE 7.5MG + ALUMINUM HYDROXIDE 250MG + MAGNESIUM OXIDE 80MG+BROMVALERYLUREA 30MG, 一般錠劑膠囊劑,",520304
"RABEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",4886383
"RANITIDINE , 一般錠劑膠囊劑 , 150.00 MG",4928492
"RANITIDINE , 一般錠劑膠囊劑 , 300.00 MG",470509
"RANITIDINE , 注射劑 , 50.00 MG",312798
"ROXATIDINE , 緩釋錠劑膠囊劑 , 75.00 MG",86427
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 230.00 MG",2783
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 300.00 MG",1687419
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 600.00 MG",138516
"SODIUM BICARBONATE 60MG + SCOPOLIA EXTRACT 6MG + CALCIUM CARBONATE25MG+MAGNESIUM TRISILICATE 100MG+MAGNESIUM OXIDE 60MG+PROPANTHELINEBROMIDE 10MG+BORNEOL 2MG+CHLOROPHYLL SODIUM COPPER 5MG, 一般錠劑膠囊劑",26685
"SUCRALFATE , 一般錠劑膠囊劑 , 500.00 MG",5458274
"SUCRALFATE , 一般錠劑膠囊劑 , 1000.00 MG",94362
"SUCRALFATE , 口服顆粒劑 , 1.00 GM",626060
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 10.00 ML",58617
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 120.00 ML",5634
"SUCRALFATE , 口服液劑 , 200.00  MG/ML , 5.00 ML",879383
"SUCRALFATE , 口服液劑 , 1000.00  MG/GM , 1.00 GM",3769
"ALUMINUM MAGNESIUM SILICATE 295MG + CHLOROPHYLL SODIUM COPPER 1MG +GLYCINE 20MG + GLYCYRRHIZIC ACID 70MG + MAGNESIUM CARBONAT 21MG +PIPERIDOLATE 3MG, 一般錠劑膠囊劑,",47085
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 60.00 MG",3394827
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 67.00 MG",630568
"ATROPINE , 一般錠劑膠囊劑 , 14.00 MCG",1234
"ATROPINE , 一般錠劑膠囊劑 , 400.00 MCG",44450
"ATROPINE , 一般錠劑膠囊劑 , 1000.00 MCG",100
"ATROPINE , 注射劑 , .50 MG",469
"ATROPINE , 注射劑 , 1.00 MG",165850
"ATROPINE 19.4MCG + PHENOBARBITAL 16.2MG + HYOSCYAMINE 103.7MCG + HYOSCINEHYDROBROMIDE 6.5MCG, 一般錠劑膠囊劑,",310531
"ATROPINE 20MCG + PHENOBARBITAL 16MG + HYOSCYAMINE SULFATE 0.1MG +SCOPOLAMINE HYDROBROMIDE 7MCG, 一般錠劑膠囊劑,",3273
"ATROPINE 0.005MG + GELSEMINE EXTRACT 0.04MG + SILVER COLLOIDAL 0.05MG + LINSEEDEXTRACT 100MG + ANGELICA EXTRACT 25MG, 一般錠劑膠囊劑,",147779
"ATROPINE SULFATE 0.0194MG + HYOSCYAMINE SULFATE 0.1037MG + SCOPOLAMINE HBR6MG + PHENOBARBITAL 16.2MG + NIACINAMIDE 10MG + THIAMINE(HCL) 3MG +RIBOFLAVIN 2MG + VITAMIN B6 (HCL) 0.5MG + PANTOTHENATE CALCIUM 2MG, 一般錠劑膠囊劑",185682
"BELLADONNA ALKALOID 5MG + PHENOBARBITAL 16MG, 一般錠劑膠囊劑,",11728
"BELLADONNA ALKALOID 8MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",1919
"BENACTYZINE , 一般錠劑膠囊劑 , 1.00 MG",83
"BROMOPRIDE , 一般錠劑膠囊劑 , 10.00 MG",2504086
"BUTROPIUM , 一般錠劑膠囊劑 , 5.00 MG",1377830
"BUTYLSCOPOLAMINE , 一般錠劑膠囊劑 , 10.00 MG",11070029
"BUTYLSCOPOLAMINE , 注射劑 , 20.00 MG",193218
"CAMYLOFINE , 注射劑 , 25.00 MG",8125
"CLIDINIUM 2.5MG + CHLORDIAZEPOXIDE 5MG, 一般錠劑膠囊劑,",2013463
"CYCLONIUM IODIDE (=OXAPIUM IODIDE) , 一般錠劑膠囊劑 , 10.00 MG",1335270
"DICYCLOMINE , 一般錠劑膠囊劑 , 10.00 MG",6088697
"DICYCLOMINE , 一般錠劑膠囊劑 , 20.00 MG",179172
"DICYCLOMINE , 注射劑 , 20.00 MG",3430
"DICYCLOMINE 10MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",19176
"DICYCLOMINE 20MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",65741
"DIMETHYL 1，4- 7-ISOPROPYLASULENE-3-SULFONATE , 一般錠劑膠囊劑 , 2.00 MG",1613122
"DIMETHICONE 40MG + DIOCTYL SODIUM SULFOSUCCINATE 30MG, 一般錠劑膠囊劑,",40611
"DIMETHICONE , 一般錠劑膠囊劑 , 20.00 MG",4417239
"DIMETHICONE , 一般錠劑膠囊劑 , 40.00 MG",137474119
"DIMETHICONE , 一般錠劑膠囊劑 , 50.00 MG",8511105
"DOMPERIDONE , 一般錠劑膠囊劑 , 10.00 MG",92663820
"DOMPERIDONE , 口服液劑 , 1.00  MG/ML , 1.00 ML",5037
"DOMPERIDONE , 口服液劑 , 1.00  MG/ML , 60.00 ML",45444
"DOMPERIDONE , 注射劑 , 10.00 MG",26238
"DOMPERIDONE , 外用錠劑 , 10.00 MG",5807
"DOMPERIDONE , 栓劑 , 10.00 MG",53294
"DOMPERIDONE , 栓劑 , 30.00 MG",1501
"ETHAVERINE (=ETHYLPAPAVERINE) , 一般錠劑膠囊劑 , 100.00 MG",10418
"FLOPROPIONE , 一般錠劑膠囊劑 , 40.00 MG",2212160
"FLOPROPIONE , 一般錠劑膠囊劑 , 80.00 MG",39676
"GLYCOPYRROLATE , 一般錠劑膠囊劑 , 1.00 MG",36389
"GLYCOPYRROLATE , 注射劑 , 200.00 MCG",25693
"HOMATROPINE , 一般錠劑膠囊劑 , 2.50 MG",131
"HYOSCYAMINE , 一般錠劑膠囊劑 , 125.00 MCG",6422775
"HYOSCYAMINE , 注射劑 , 20.00 MG",1257
"MEBEVERINE , 一般錠劑膠囊劑 , 100.00 MG",8907633
"MEBEVERINE , 一般錠劑膠囊劑 , 135.00 MG",6428326
"MEBEVERINE,緩釋錠劑膠囊劑,200MG",224
"MEPENZOLATE , 一般錠劑膠囊劑 , 7.50 MG",7306971
"MEPENZOLATE , 一般錠劑膠囊劑 , 15.00 MG",761933
"MEPENZOLATE , 一般錠劑膠囊劑 , 25.00 MG",3477
"MEPENZOLATE 7.5MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",81102
"MEPENZOLATE 25MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",258
"METHSCOPOLAMINE , 一般錠劑膠囊劑 , 1.00 MG",651220
"METOCLOPRAMIDE 5MG + PANCREATIN 212.5MG, 一般錠劑膠囊劑,",3150088
"METOCLOPRAMIDE , 一般錠劑膠囊劑 , 3.84-5.00 MG",72369073
"METOCLOPRAMIDE , 一般錠劑膠囊劑 , 7.67 - 10.00 MG",4006042
"METOCLOPRAMIDE , 緩釋錠劑膠囊劑 , 30.00 MG",1713752
"METOCLOPRAMIDE , 口服顆粒劑 , 10.00 MG",177
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 1.00 ML",52334
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 60.00 ML",29653
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 120.00 ML",2
"METOCLOPRAMIDE , 注射劑 , 5.00 MG",266
"METOCLOPRAMIDE , 注射劑 , 10.00 MG",3887986
"MOSAPRIDE , 一般錠劑膠囊劑 , 5.00 MG",31956321
"OXETHAZAINE , 一般錠劑膠囊劑 , 5.00 MG",1199040
"OXETHAZAINE , 一般錠劑膠囊劑 , 10.00 MG",12995392
"PAPAVERINE , 一般錠劑膠囊劑 , 15.00 MG",13293
"PAPAVERINE , 一般錠劑膠囊劑 , 20.00 MG",1234
"PAPAVERINE , 一般錠劑膠囊劑 , 30.00 MG",57576
"PAPAVERINE , 注射劑 , 30.00 MG",796
"PAPAVERINE 5MG + BERBERINE 50MG + BISMUTH SUBNITRATE 45MG + DIPHENHYDRAMINE5MG, 一般錠劑膠囊劑,",11470
"PAPAVERINE10MG + BERBERINE 100MG + BISMUTH SUBNITRATE 90MG +DIPHENHYDRAMINE 10MG, 一般錠劑膠囊劑,",17705
"PINAVERIUM , 一般錠劑膠囊劑 , 50.00 MG",4650239
"PIPERIDOLATE , 一般錠劑膠囊劑 , 50.00 MG",913042
"PIPERILATE （=PIPETHANATE）ETHOBROMIDE , 一般錠劑膠囊劑 , 10.00 MG",6352099
"PIPERILATE （=PIPETHANATE）ETHOBROMIDE , 注射劑 , 10.00 MG",1358
"PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) , 一般錠劑膠囊劑 , 3.00 MG",34715
"PROPANTHELINE , 一般錠劑膠囊劑 , 15.00 MG",72415
"SCOPOLIA EXTRACT 5MG + ETHAVERINE 8MG + BENZOCAINE 40MG + BROMISOVALUM40MG, 一般錠劑膠囊劑,",10080
"TIMEPIDIUM , 一般錠劑膠囊劑 , 30.00 MG",2539932
"TIMEPIDIUM , 注射劑 , 7.50 MG",4260
"TROSPIUM CHLORIDE , 一般錠劑膠囊劑 , 5.00 MG",607893
"TROSPIUM CHLORIDE , 注射劑 , 600.00 MCG",4
"VALETHAMATE , 一般錠劑膠囊劑 , 10.00 MG",54399
"APREPITANT , 一般錠劑膠囊劑 , 80.00MG-125.00 MG",22054
"GRANISETRON , 一般錠劑膠囊劑 , 1.00 MG",22122
"GRANISETRON , 注射劑 , 1.00 MG",21045
"GRANISETRON , 注射劑 , 3.00 MG",93171
"ONDANSETRON , 一般錠劑膠囊劑 , 8.00 MG",14521
"ONDANSETRON , 注射劑 , 4.00 MG",10515
"ONDANSETRON , 注射劑 , 8.00 MG",50148
"SCOPOLAMINE , 一般錠劑膠囊劑 , 10.00 MG",5255213
"SCOPOLAMINE , 注射劑 , 20.00 MG",436843
"TROPISETRON , 一般錠劑膠囊劑 , 5.00 MG",13035
"TROPISETRON , 注射劑 , 5.00 MG",58929
"ADENOSINE 20MG/ML + CHOLINE OROTATE 200MG/ML + VITAMIN B12  1MG/ML, 注射劑,5.00ML",166
"ADENOSINE 5MG/ML + CHOLINE OROTATE 50MG/ML + VITAMIN B12  1.5MG/ML, 注射劑,2.00ML",107
"ANETHOLE TRITHIONE 5MG + CHOLINE BITARTRATE 300MG, 一般錠劑膠囊劑,",153297
"DI-ARGININE OXOGLURATE , 注射劑 , 2.50 GM",191
"DI-ARGININE OXOGLURATE , 注射劑 , 5.00 GM",70
"BETAINE 150MG + DIETHANOLAMINE 30MG + NICOTINAMIDE 20MG, 一般錠劑膠囊劑,",3610888
"BETAINE 750MG/ML + DIETHANOLAMINE 200MG/ML + NICOTINAMIDE 100MG/ML, 注射劑,10.00ML",12566
"CHOLINE BITARTRATE 50MG+DEHYDROCHOLIC ACID 30MG+FEL TAURI 20MG+PYRIDOXINE2MG+VITAMINE B12 3MCG+INOSITOL 100MG+NIACINAMIDE (=NICOTINAMIDE)20MG+VITAMINE B2 10MG+VITAMINE B1 10MG+METHIONINE 100MG , 一般錠劑膠囊劑",3648
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 2.00ML",8
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 10.00ML",12
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 20.00ML",661
"CHENODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 250.00 MG",6328
"CHONDROITIN 10MG/ML + METHIONINE 20MG/ML + VITAMIN B12 100MCG/ML, 注射劑,5.00ML",1
"CHONDROITIN 10MG/ML + METHIONINE 20MG/ML + VITAMIN B12 100MCG/ML, 注射劑,20.00ML",24
"CYCLOBUTYROL , 一般錠劑膠囊劑 , 100.00 MG",243
"CYSTEINE 4MG/ML + VITAMIN C 50MG/ML, 注射劑, 20.00ML",4128
"CYSTEINE 1MG/ML + GLYCINE 20MG/ML + GLYCYRRHIZIC ACID 2MG/ML, 注射劑, 5.00ML",4
"CYSTEINE 1MG/ML + GLYCINE 20MG/ML + GLYCYRRHIZIC ACID 2MG/ML, 注射劑, 20.00ML",182
"DEXTROSE 100MG/ML + METHIONINE 25MG/ML + VITAMIN B1 0.25MG/ML + VITAMIN B20.1MG/ML, 注射劑, 20.00ML",36
"DEXTROSE 100MG/ML+METHIONINE DL- 30MG/ML+RIBOFLAVIN PHOSPHATE0.05MG/ML+THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 0.25MG/ML 注射劑20ML",78
"DEXTROSE 100MG/ML + METHIONINE 20MG/ML + NICOTINAMIDE 2MG/ML + TAURINE1MG/ML + VITAMIN B1 1MG/ML + VITAMIN B2 0.1MG/ML, 注射劑, 20.00ML",2729
"DEXTROSE 100MG/ML + METHIONINE 20MG/ML + NICOTINAMIDE 2MG/ML + TAURINE1MG/ML + VITAMIN B1 1.5MG/ML + VITAMIN B2 0.1MG/ML, 注射劑, 20.00ML",1658
"DEXTROXE 100MG/ML+METHIONINE 30MG/ML + VITAMIN B1 1.5MG/ML + VITAMIN B20.1MG/ML + NICOTINAMIDE 2MG/ML + TAURINE 1MG/ML, 注射劑,20ML",216
"DIISOPROPYLAMINE DICHLORACETATE , 一般錠劑膠囊劑 , 20.00 MG",19827
"GLUCURONIC ACID 0.4MG/ML + DEXTROSE 50MG/ML, 注射劑, 500.00ML",10
"GLUCURONIC ACID 50MG + VITAMIN B1 2MG + VITAMIN C 10MG, 一般錠劑膠囊劑,",41548
"GLUCURONIC ACID 25MG/ML + DEXTROSE 200MG/ML + VITAMIN B1 1MG/ML +PANTOTHENIC ACID 2.5MG/ML, 注射劑, 20.00ML",357
"GLUCURONIC ACID 25MG/ML + METHIONINE 30MG/ML + VITAMIN B2 1MG/ML + VITAMINB12 5MCG/ML + TAURINE 25MG/ML, 注射劑, 5.00ML",108
"GLYCINE 10MG + GLYCYRRHIZIC ACID 1MG, 注射劑, 2.00ML",33
"HYMECROMONE , 一般錠劑膠囊劑 , 200.00 MG",1531285
"METHIONINE , 注射劑 , 400.00 MG",2
