藥品分類分組名稱,醫令申報數量
"ALUMINUM HYDROXIDE 230MG + MAGNESIUM HYDROXIDE 85MG, 一般錠劑膠囊劑,",1509023
"ALUMINUM HYDROXIDE 250MG + MAGNESIUM TRISILICATE 500MG, 一般錠劑膠囊劑,",126170
"ALUMINUM HYDROXIDE 120MG/ML + MAGNESIUM HYDROXIDE 60MG/ML, 內服液劑, 8.00ML",70125
"ALUMINUM HYDROXIDE 240MG/ML + MAGNESIUM HYDROXIDE 40MG/ML, 內服液劑, 1.00ML",3094667
"ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG, 一般錠劑膠囊劑,",43174009
"ALUMINUM HYDROXIDE 250MG + CALCIUM PHOSPHATE TRIBASIC 2.5MG + MAGNESIUMTRISILICATE 500MG, 一般錠劑膠囊劑,",140983
"ALUMINUM HYDROXIDE 300MG/GM + MAGNESIUM TRISILICATE 396MG/GM + MUCINGASTRIC 260MG/GM, 口服顆粒劑, 1.00GM",3491
"ALUMINUM HYDROXIDE 45MG/ML + CALCIUM CARBONATE 50MG/ML + MAGNESIUMHYDROXIDE 40MG/ML, 內服液劑, 60.00ML",3163
"ALUMINUM HYDROXIDE 260MG + MAGNESIUM HYDROXIDE 130MG + MAGNESIUMTRISILICATE 455MG, 一般錠劑膠囊劑,",994182
"ALUMINUM HYDROXIDE 30MG + MAGNESIUM CARBONATE 40MG + ALGINIC ACID 200MG,一般錠劑膠囊劑,",13379311
"ALUMINUM HYDROXIDE 400MG + ALUMINUM SILICATE 100MG + MAGNESIUM OXIDE 140MG+ HISTIDINE 20MG, 一般錠劑膠囊劑,",630280
"PHENOBARBITAL 8.1MG + HOMATROPINE METHYLBROMIDE 1.8mg + ALUMINUMHYDROXIDE DRIED GEL 243MG + MAGNESIUM TRISILICATE&nbsp;81MG, 一般錠劑膠囊劑",33544
"ALUMINUM HYDROXIDE DRIED GEL 250MG + MAGNESIUM TRISILICATE 500MG +COUMARIN*3% + PEPPERMINT OIL*97% ,一般錠劑膠囊劑",14726442
"ALUMINUM HYDROXIDE DRIED GEL 150MG+ALUMINUM SILICATE 225MG + SCOPOLIAEXTRACT 5MG + GLYCINE 60MG + BENZOCAINE 25MG + CHLOROPHYLL SODIUM COPPER5MG+NIACINAMIDE 5MG+PANTOTHENATE CALCIUM 10MG+TAURINE 25MG+GLYCYRRHIZAEXTRACT 5MG, 一般錠劑膠囊劑",1759
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 233.00 MG",5787578
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",2068203
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 324.00 MG",3196199
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 325.00 MG",157240
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 1.00 ML",573660
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 18.00 ML",4846
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 100.00 ML",1073
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 473.00 ML",306
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 177.5MG/ML + MAGNESIUMHYDROXIDE 30MG/ML, 內服液劑, 500.00ML",213
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 240MG/ML + MAGNESIUMHYDROXIDE 133.2MG/ML, 內服液劑, 1.00ML",1243962
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 240MG/ML + MAGNESIUMHYDROXIDE 133.2MG/ML, 內服液劑, 500.00ML",564720
"ALUMINUM MAGNESIUM SILICATE 147MG + CHLOROPHYLL SODIUM COPPER 0.5MG +GLYCINE 10MG + GLYCYRRHIZIC ACID 35MG + MAGNESIUM CARBONAT 10MG +PIPERIDOLATE 1.5MG, 一般錠劑膠囊劑,",1805761
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE, 一般錠劑膠囊劑,",141143
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE , 一般錠劑膠囊劑 , 200.00 MG",7188394
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE , 一般錠劑膠囊劑 , 500.00 MG",25251736
"ALUMINUM SILICATE 845MG + GLYCYRRHIZIC ACID 150MG, 口服顆粒劑,",43389
"ALUMINUM PHOSPHATE , 一般錠劑膠囊劑 , 400.00 MG",300308
"ALUMINUM PHOSPHATE , 一般錠劑膠囊劑 , 500.00 MG",9112088
"ALUMINUM PHOSPHATE , 內服液劑 , 20.00 ML",78220
"ALUMINUM PHOSPHATE , 內服液劑 , 110.00  MG/ML , 1.00 ML",4850
"ALUMINUM PHOSPHATE , 內服液劑 , 110.00  MG/ML , 240.00 ML",80
"ALUMINUM PHOSPHATE , 內服液劑 , 130.00  MG/ML , 20.00 ML",73410
"ALUMINUM PHOSPHATE , 內服液劑 , 199.12  MG/ML , 20.00 ML",208
"ALUMINUM SILICATE , 口服顆粒劑 , 1.00 GM",2308
"ATROPINE 10MCG/ML + GELSEMINE 80MCG/ML, 注射劑, 1.00ML",257
"AZULENE , 一般錠劑膠囊劑 , 2.00 MG",17720146
"AZULENE , 一般錠劑膠囊劑 , 20.00 MG",2167
"AZULENE , 口服顆粒劑 , 10.00 MG",58744
"GUAIAZULENE SODIUM SULFONATE 2MG+SODIUM BICARBONATE 20MG,一般錠劑膠囊劑",6094
"BENACTYZINE 6066MG + GLUTAMINE 166MG + MAGALDRATE 166MG, 一般錠劑膠囊劑,",108
"BENACTYZINE 10MG + ALUMINUM HYDROXIDE 100MG + CHLOROPHYLLIN 1MG, 一般錠劑膠囊劑,",328462
"BISMUTH SUBCARBONATE , 一般錠劑膠囊劑 , 324.00 MG",3631724
"BISMUTH SUBCITRATE or BISMUTH SUBNITRATE , 一般錠劑膠囊劑 , 300.00 MG",283177
"BUTINOLIN 2MG + ALUMINUM HYDROXIDE 200MG + CALCIUM CARBONATE 300MG, 一般錠劑膠囊劑,",2700691
"BUTINOLIN 2MG + BISMUTH SUBNITRATE 150MG + CALCIUM CARBONATE 600MG, 一般錠劑膠囊劑,",673993
"CARBENOXOLONE , 一般錠劑膠囊劑 , 50.00 MG",141120
"CETRAXATE , 一般錠劑膠囊劑 , 100.00 MG",23201
"CETRAXATE , 一般錠劑膠囊劑 , 200.00 MG",3557
"CIMETIDINE , 一般錠劑膠囊劑 , 200.00 MG",30911044
"CIMETIDINE , 一般錠劑膠囊劑 , 300.00 MG",20011868
"CIMETIDINE , 一般錠劑膠囊劑 , 400.00 MG",5271063
"CIMETIDINE , 一般錠劑膠囊劑 , 800.00 MG",2913
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 1.00 ML",19410
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 10.00 ML",310
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 15.00 ML",8136
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 120.00 ML",20
"CIMETIDINE , 注射劑 , 200.00 MG",381745
"CIMETIDINE , 注射劑 , 300.00 MG",88689
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG, 一般錠劑膠囊劑,",181298
"DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG, 一般錠劑膠囊劑,",2241671
"DICYCLOMINE 0.55MG/ML + ALUMINUM HYDROXIDE 40MG/ML + MAGNESIUM OXIDE20MG/ML, 內服液劑, 450.00ML",236
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG, 一般錠劑膠囊劑,",4841230
"DICYCLOMINE 5MG/GM + ALUMINUM HYDROXIDE 400MG/GM + MAGNESIUM OXIDE200MG/GM, 口服顆粒劑, 1.00GM",90936
"DICYCLOMINE 5MG/GM + ALUMINUM HYDROXIDE 400MG/GM + MAGNESIUM OXIDE200MG/GM, 口服顆粒劑, 100.00GM",1354
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + MAGALDRATE350MG, 一般錠劑膠囊劑,",1387
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 1.00ML",74315
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 20.00ML",30
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 200.00ML",19340
"DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG +METHYLMETHIONINE 12.5MG, 一般錠劑膠囊劑,",10695070
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG +PHENOBARBITAL 10MG, 一般錠劑膠囊劑,",418189
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + MAGNESIUMALUMINUM HYDROXIDE CO-DRIED GEL 350MG + CHLOROPHYLL SODIUM COPPER 3MG, 一般錠劑膠囊劑,",190791
"DICYCLOMINE 2.00MG/GM + BUTYLSCOPOLAMINE 2.00MG/GM + MAGNESIUM ALUMINUMHYDROXIDE CO-DRIED GEL 350.00MG/GM  + MAGNESIUM OXIDE 40.00MG/GM +CHLORDIAZEPOXIDE 5.00MG/GM + CHLOROPHYLL SODIUM COPPER 3.00MG/GM, 口服顆粒劑,1.00GM",72890
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUMSILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLLSODIUM COPPER 3MG, 一般錠劑膠囊劑,",23004042
"DICYCLOMINE 1MG + SCOPOLAMINE 1MG + CHLORDIAZEPOXIDE 2.5MG + ALUMINUMSILICATE 30MG + MAGALDRAT 175MG + MAGNESIUM OXIDE 20MG + CHLOROPHYLLSODIUM COPPER 1.5MG, 一般錠劑膠囊劑,",109
"DIHYDROXYALUMINUM AMINOACETATE , 一般錠劑膠囊劑 , 500.00 MG",171433
"DIHYDROXYALUMINUM SODIUM CARBONATE , 一般錠劑膠囊劑 , 350.00 MG",3341053
"DIMETHICONE 20MG + MAGALDRATE 480MG, 一般錠劑膠囊劑,",20751644
"DIMETHICONE 2.5MG/ML + POLYMAGAL 40MG/ML, 內服液劑, 15.00ML",392928
"DIMETHICONE 20MG + MAGNESIUM TRISILICATE 150MG, 一般錠劑膠囊劑,",4545
"DIMETHICONE 250MG/ML + MAGALDRATE 375MG/ML, 內服液劑, 15.00ML",207485
"DIMETHICONE 25MG + ALUMINUM HYDROXIDE 200MG, 一般錠劑膠囊劑,",67368
"DIMETHICONE 40MG + ALUMINUM HYDROXIDE 300MG, 一般錠劑膠囊劑,",139336
"DIMETHICONE 40MG + ALUMINUM MAGNESIUM SILICATE 75MG, 一般錠劑膠囊劑,",870990
"DIMETHICONE 50MG + ALUMINUM HYDROXIDE 200MG, 一般錠劑膠囊劑,",743377
"DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG,一般錠劑膠囊劑,",39189524
"DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML + MAGNESIUM HYDROXIDE40MG/ML, 內服液劑, 1.00ML",6331506
"DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML + MAGNESIUM HYDROXIDE40MG/ML, 內服液劑, 120.00ML",6
"DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML + MAGNESIUM HYDROXIDE40MG/ML, 內服液劑, 200.00ML",1031
"DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML + MAGNESIUM HYDROXIDE40MG/ML, 內服液劑, 300.00ML",38003
"DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 200MG, 一般錠劑膠囊劑,",158550
"DIMETHICONE 20MG + CALCIUM CARBONATE 280MG + MAGNESIUM HYDROXIDE 128MG, 一般錠劑膠囊劑,",31170295
"DIMETHICONE 7.34MG/ML + ALUMINUM HYDROXIDE 66.8MG/ML + MAGNESIUMHYDROXIDE 33.2MG/ML, 內服液劑, 15.00ML",1186
"DIMETHICONE 25MG + ALUMINUM HYDROXIDE 200MG + ALUMINUM MAGNESIUM SILICATE200MG, 一般錠劑膠囊劑,",59572
"DIMETHICONE 20MG/ML + ALUMINUM HYDROXIDE 200MG/ML + MAGNESIUM HYDROXIDE200MG/ML, 內服液劑, 1.00ML",19142
"DIMETHICONE 25MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG,一般錠劑膠囊劑,",92607991
"DIMETHICONE 25MG + ALUMINUM HYDROXIDE 300MG + MAGNESIUM HYDROXIDE 200MG,一般錠劑膠囊劑,",124707
"DIMETHICONE 25MG + ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 275MG+ MAGNESIUM HYDROXIDE 100MG, 一般錠劑膠囊劑,",2924687
"DIMETHICONE 25MG + ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 282MG+ MAGNESIUM HYDROXIDE 85MG, 一般錠劑膠囊劑,",13152122
"DIMETHICONE 25MG + MAGALDRATE 282MG + MAGNESIUM OXIDE 85MG, 一般錠劑膠囊劑,",12564643
"DIMETHICONE 30MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM HYDROXIDE 400MG,一般錠劑膠囊劑,",1365470
"DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG,一般錠劑膠囊劑,",33780780
"DIMETHICONE 40MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM HYDROXIDE 400MG,一般錠劑膠囊劑,",1301017
"DIMETHICONE 275MG + ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE100MG + MAGNESIUM HYDROXIDE 90MG, 一般錠劑膠囊劑,",2786052
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",273
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",7453978
"ESOMEPRAZOLE , 注射劑 , 40.00 MG",18
"FAMOTIDINE , 一般錠劑膠囊劑 , 20.00 MG",6098742
"FAMOTIDINE , 一般錠劑膠囊劑 , 40.00 MG",628141
"FAMOTIDINE , 口服顆粒劑 , 20.00 MG",483564
"FAMOTIDINE , 注射劑 , 20.00 MG",455796
"FAMOTIDINE , 注射劑 , 40.00 MG",5
"FAMOTIDINE , 注射劑 , 100.00 MG",265
"GEFARNATE , 一般錠劑膠囊劑 , 50.00 MG",667540
"GEFARNATE , 一般錠劑膠囊劑 , 100.00 MG",339082
"HISTIDINE , 一般錠劑膠囊劑 , 200.00 MG",13
"HISTIDINE , 注射劑 , 200.00 MG",34905
"homatropine 1-1.25mg + aluminum hydroxide 0-300mg, 一般錠劑膠囊劑",33327569
"HOMATROPINE 1MG + POLYMAGAL 230MG, 一般錠劑膠囊劑,",1747862
"HOMATROPINE 2MG/GM + MAGALDRATE 400MG/GM + MAGNESIUM TRISILICATE 300MG/GM,口服顆粒劑, 1.00GM",1177293
"HOMATROPINE 2.4MG + MAGALDRATE 400MG + MAGNESIUM TRISILICATE 300MG, 一般錠劑膠囊劑,",10923248
"HOMATROPINE 1.2MG + MAGALDRATE 200MG + MAGNESIUM TRISILICATE 150MG, 一般錠劑膠囊劑,",9993
"HOMATROPINE 2.5MG + ALUMINUM HYDROXIDE 320MG + BENZOCAINE 64MG +PHENOBARBITAL 8MG, 一般錠劑膠囊劑,",832998
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 15.00 MG",195
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 30.00 MG",8387262
"MAGALDRATE , 一般錠劑膠囊劑 , 200.00 MG",5601912
"MAGALDRATE , 一般錠劑膠囊劑 , 400.00 MG",8551143
"MAGALDRATE , 一般錠劑膠囊劑 , 480.00 MG",329570
"MAGALDRATE , 內服液劑 , 80.00  MG/ML , 1.00 ML",1555596
"MAGALDRATE , 內服液劑 , 80.00  MG/ML , 500.00 ML",575
"MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG, 一般錠劑膠囊劑,",20858
"MAGALDRATE 100MG + SULCAIN 100MG, 一般錠劑膠囊劑,",51525
"SCOPOLIA EXTRACT 6MG + SODIUM BICARBONATE 220MG + CALCIUM CARBONATE 220MG+ MAGNESIUM OXIDE 70MG,一般錠劑膠囊劑",9
"MAGNESIUM ALUMINUM BISMUTH SILICATE , 一般錠劑膠囊劑 , 500.00 MG",74340
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",38234154
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 324.00 MG",7736622
"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",272731453
"METHYLMETHIONINE , 一般錠劑膠囊劑 , 25.00 MG",764656
"MISOPROSTOL , 一般錠劑膠囊劑 , 200.00 MCG",134873
"NIZATIDINE , 一般錠劑膠囊劑 , 150.00 MG",913501
"OMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",4556493
"OMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",109559
"OMEPRAZOLE , 注射劑 , 40.00 MG",646832
"OXETHAZAINE 5MG + ALUMINUM MAGNESIUM SILICATE 230MG, 一般錠劑膠囊劑,",352
"OXETHAZAINE 5MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",11304877
"OXETHAZAINE 5MG + ALUMINUM MAGNESIUM SILICATE 250MG, 一般錠劑膠囊劑,",1609
"OXETHAZAINE 5MG + ALUMINUM SILICATE 100MG, 一般錠劑膠囊劑,",12219594
"OXETHAZAINE 5MG + POLYMIGEL 244MG, 一般錠劑膠囊劑,",50281237
"OXETHAZAINE 10MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",12231695
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 0.95ML/ML + MAGNESIUM HYDROXIDE20MG/ML, 內服液劑, 10.00ML",459535
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 0.95ML/ML + MAGNESIUM HYDROXIDE20MG/ML, 內服液劑, 200.00ML",290783
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 1.00ML",13494959
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 200.00ML",223
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 360.00ML",99896
"OXETHAZAINE 5MG + ALUMINUM HYDROXIDE 124.9MG + MAGNESIUM CARBONATE83.8MG, 一般錠劑膠囊劑,",31823280
"OXETHAZAINE 5MG + ALUMINUM HYDROXIDE 230MG + MAGNESIUM HYDROXIDE 85MG, 一般錠劑膠囊劑,",1738894
"OXETHAZAINE 10MG + POLYMAGAL 400MG + GLYCYRRHIZIC ACID 10MG, 一般錠劑膠囊劑,",18318998
"PANTOPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",4727988
"PANTOPRAZOLE , 注射劑 , 40.00 MG",184113
"PIPERILATE 1.5MG + ALUMINUM MAGNESIUM SILICATE 147.5MG + GLYCYRRHIZIC ACID35MG, 一般錠劑膠囊劑,",2248308
"PIPERILATE 6MG/GM + ALUMINUM MAGNESIUM SILICATE 590MG/GM + GLYCYRRHIZICACID 140MG/GM, 口服顆粒劑, 1.00GM",1172842
"PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 295MG + GLYCYRRHIZIC ACID 70MG,一般錠劑膠囊劑,",3030227
"PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG+ HISTIDINE 30MG, 一般錠劑膠囊劑,",76792
"PIRENZEPINE , 一般錠劑膠囊劑 , 25.00 MG",368035
"PIRENZEPINE , 注射劑 , 10.00 MG",581
"POLYMAGAL 100MG + SULCAIN 100MG, 一般錠劑膠囊劑,",15933999
"PROGLUMIDE , 一般錠劑膠囊劑 , 200.00 MG",60696
"PROPANTHELINE 7.5MG + ALUMINUM HYDROXIDE 250MG + MAGNESIUM OXIDE 80MG+BROMVALERYLUREA 30MG, 一般錠劑膠囊劑,",924144
"RABEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",2664609
"RANITIDINE , 一般錠劑膠囊劑 , 150.00 MG",7489374
"RANITIDINE , 一般錠劑膠囊劑 , 300.00 MG",325019
"RANITIDINE , 注射劑 , 50.00 MG",494262
"ROXATIDINE , 緩釋錠劑膠囊劑 , 75.00 MG",327209
"SCOPOLIA EXTRACT 5MG + SODIUM BICARBONATE 250MG + GUAIFENESIN 60MG +GENTIAN 5MG, 一般錠劑膠囊劑,",98647
"SCOPOLAMINE 50MCG + DIHYDROXYALUMINUM AMINOACETATE 320MG + MAGNESIUMCARBONATE 27MG + PHENOBARBITAL 4.5MG, 一般錠劑膠囊劑,",360
"SCOPOLIA EXTRACT 5MG + GUAIACOL CARBONATE 30MG + CINNAMON POWDER 5MG +GENTIAN POWDER 5MG + SODIUM BICARBONATE 250MG, 一般錠劑膠囊劑",3727
"SCOPOLIA EXTRACT 5MG + SODIUM BICARBONATE 125MG + ALUMINUM HYDROXIDEDRIED GEL50MG + LACTOBACILLI 10MG + DIASTASE 45MG + METHYLMETHIONINESULFONIUM CHLORIDE 6.25MG, 一般錠劑膠囊劑",13857
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 230.00 MG",99924
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 300.00 MG",4390508
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 600.00 MG",772856
"SODIUM BICARBONATE 250MG + SCOPOLIA EXTRACT 5MG + GUAIACOL CARBONATE 30MG+ CINNAMON POWDER 5MG + GENTIAN POWDER 5MG, 一般錠劑膠囊劑",13133
"SODIUM BICARBONATE 650MG + CINNAMON 37.5MG + COPTIS RHIZOMA40MG + BORNEOL10MG + GENTIANA SCABRAE RADIX 20MG + MENTHOL 6MG + GLYCYRRHIZA RADIX 20MG +GAMBIR 10MG + PEPPER 4MG + CARYOPHILLI FLORES 20MG + HYDRANGEAE DULCISFOLIUM 12.5 MG , 一般錠劑膠囊",624949
"SODIUM BICARBONATE 60MG + SCOPOLIA EXTRACT 6MG + CALCIUM CARBONATE25MG+MAGNESIUM TRISILICATE 100MG+MAGNESIUM OXIDE 60MG+PROPANTHELINEBROMIDE 10MG+BORNEOL 2MG+CHLOROPHYLL SODIUM COPPER 5MG, 一般錠劑膠囊劑",391460
"SUCRALFATE , 一般錠劑膠囊劑 , 500.00 MG",4166473
"SUCRALFATE , 一般錠劑膠囊劑 , 1000.00 MG",93562
"SUCRALFATE , 口服顆粒劑 , 1.00 GM",926670
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 1.00 ML",143731
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 10.00 ML",52968
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 120.00 ML",1646
"SUCRALFATE , 口服液劑 , 200.00  MG/ML , 5.00 ML",721786
"SUCRALFATE , 口服液劑 , 1000.00  MG/GM , 1.00 GM",2015
"ALUMINUM MAGNESIUM SILICATE 295MG + CHLOROPHYLL SODIUM COPPER 1MG +GLYCINE 20MG + GLYCYRRHIZIC ACID 70MG + MAGNESIUM CARBONAT 21MG +PIPERIDOLATE 3MG, 一般錠劑膠囊劑,",298645
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 60.00 MG",3053901
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 67.00 MG",563782
"ANISOTROPINE , 一般錠劑膠囊劑 , 10.00 MG",6136
"ANISOTROPINE , 注射劑 , 10.00 MG",7
"ATROPINE , 一般錠劑膠囊劑 , 14.00 MCG",8761
"ATROPINE , 一般錠劑膠囊劑 , 400.00 MCG",38291
"ATROPINE , 一般錠劑膠囊劑 , 1000.00 MCG",1600
"ATROPINE , 注射劑 , .50 MG",2602
"ATROPINE , 注射劑 , 1.00 MG",177237
"ATROPINE , 注射劑 , 2.00 MG",2
"ATROPINE 19.4MCG + PHENOBARBITAL 16.2MG + HYOSCYAMINE 103.7MCG + HYOSCINEHYDROBROMIDE 6.5MCG, 一般錠劑膠囊劑,",487279
