藥品分類分組名稱,醫令申報數量
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG +PHENOBARBITAL 10MG, 一般錠劑膠囊劑,",84365
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + MAGNESIUMALUMINUM HYDROXIDE CO-DRIED GEL 350MG + CHLOROPHYLL SODIUM COPPER 3MG, 一般錠劑膠囊劑,",33806
"DICYCLOMINE 2.00MG/GM + BUTYLSCOPOLAMINE 2.00MG/GM + MAGNESIUM ALUMINUMHYDROXIDE CO-DRIED GEL 350.00MG/GM  + MAGNESIUM OXIDE 40.00MG/GM +CHLORDIAZEPOXIDE 5.00MG/GM + CHLOROPHYLL SODIUM COPPER 3.00MG/GM, 口服顆粒劑,1.00GM",11923
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUMSILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLLSODIUM COPPER 3MG, 一般錠劑膠囊劑,",27784113
"DICYCLOMINE 1MG + SCOPOLAMINE 1MG + CHLORDIAZEPOXIDE 2.5MG + ALUMINUMSILICATE 30MG + MAGALDRAT 175MG + MAGNESIUM OXIDE 20MG + CHLOROPHYLLSODIUM COPPER 1.5MG, 一般錠劑膠囊劑,",7403
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",231
"ESOMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",18460872
"ESOMEPRAZOLE , 口服顆粒劑 , 10.00 MG",922
"ESOMEPRAZOLE , 注射劑 , 40.00 MG",697710
"FAMOTIDINE , 一般錠劑膠囊劑 , 20.00 MG",64261282
"FAMOTIDINE , 一般錠劑膠囊劑 , 40.00 MG",407116
"FAMOTIDINE , 口服顆粒劑 , 20.00 MG",256044
"FAMOTIDINE , 注射劑 , 20.00 MG",361876
"FAMOTIDINE , 注射劑 , 40.00 MG",29
"FAMOTIDINE , 注射劑 , 100.00 MG",21
"GEFARNATE , 一般錠劑膠囊劑 , 50.00 MG",2171
"GEFARNATE , 一般錠劑膠囊劑 , 100.00 MG",41605
"HISTIDINE , 注射劑 , 200.00 MG",3942
"homatropine 1-1.25mg + aluminum hydroxide 0-300mg, 一般錠劑膠囊劑",6477937
"HOMATROPINE 2MG/GM + MAGALDRATE 400MG/GM + MAGNESIUM TRISILICATE 300MG/GM,口服顆粒劑, 1.00GM",853215
"HOMATROPINE 2.4MG + MAGALDRATE 400MG + MAGNESIUM TRISILICATE 300MG, 一般錠劑膠囊劑,",5594181
"HOMATROPINE 2.5MG + ALUMINUM HYDROXIDE 320MG + BENZOCAINE 64MG +PHENOBARBITAL 8MG, 一般錠劑膠囊劑,",604171
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 15.00 MG",2870867
"LANSOPRAZOLE , 一般錠劑膠囊劑 , 30.00 MG",18629919
"MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG, 一般錠劑膠囊劑,",7511
"MAGNESIUM ALUMINUM BISMUTH SILICATE , 一般錠劑膠囊劑 , 500.00 MG",11135
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",6014900
"MAGNESIUM HYDROXIDE , 一般錠劑膠囊劑 , 324.00 MG",9459462
"MAGNESIUM OXIDE , 一般錠劑膠囊劑 , 250.00 MG",318473796
"METHYLMETHIONINE , 一般錠劑膠囊劑 , 25.00 MG",26203
"MISOPROSTOL , 一般錠劑膠囊劑 , 200.00 MCG",127843
"NIZATIDINE , 一般錠劑膠囊劑 , 150.00 MG",226301
"OMEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",3830226
"OMEPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",1753344
"OMEPRAZOLE , 注射劑 , 40.00 MG",230075
"OXETHAZAINE 5MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",3653960
"OXETHAZAINE 5MG + ALUMINUM SILICATE 100MG, 一般錠劑膠囊劑,",9722521
"OXETHAZAINE 5MG + POLYMIGEL 244MG, 一般錠劑膠囊劑,",90850364
"OXETHAZAINE 10MG + ALUMINUM MAGNESIUM SILICATE 244MG, 一般錠劑膠囊劑,",1412185
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 1.00ML",1055571
"OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE19.5MG/ML, 口服液劑, 360.00ML",427700
"OXETHAZAINE 5MG + ALUMINUM HYDROXIDE 124.9MG + MAGNESIUM CARBONATE83.8MG, 一般錠劑膠囊劑,",8702293
"OXETHAZAINE 10MG + POLYMAGAL 400MG + GLYCYRRHIZIC ACID 10MG, 一般錠劑膠囊劑,",10953865
"PANTOPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",24637
"PANTOPRAZOLE , 一般錠劑膠囊劑 , 40.00 MG",10203374
"PANTOPRAZOLE , 注射劑 , 40.00 MG",703933
"PIPERILATE 1.5MG + ALUMINUM MAGNESIUM SILICATE 147.5MG + GLYCYRRHIZIC ACID35MG, 一般錠劑膠囊劑,",1483515
"PIPERILATE 6MG/GM + ALUMINUM MAGNESIUM SILICATE 590MG/GM + GLYCYRRHIZICACID 140MG/GM, 口服顆粒劑, 1.00GM",760607
"PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG+ HISTIDINE 30MG, 一般錠劑膠囊劑,",3222
"PIRENZEPINE , 一般錠劑膠囊劑 , 25.00 MG",18766
"POLYMAGAL 100MG + SULCAIN 100MG, 一般錠劑膠囊劑,",5755974
"PROPANTHELINE 7.5MG + ALUMINUM HYDROXIDE 250MG + MAGNESIUM OXIDE 80MG+BROMVALERYLUREA 30MG, 一般錠劑膠囊劑,",247090
"RABEPRAZOLE , 一般錠劑膠囊劑 , 10.00 MG",168
"RABEPRAZOLE , 一般錠劑膠囊劑 , 20.00 MG",8096308
"RANITIDINE , 一般錠劑膠囊劑 , 150.00 MG",30251007
"RANITIDINE , 一般錠劑膠囊劑 , 300.00 MG",397020
"RANITIDINE , 注射劑 , 50.00 MG",259603
"ROXATIDINE , 緩釋錠劑膠囊劑 , 75.00 MG",256940
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 300.00 MG",4836643
"SODIUM BICARBONATE , 一般錠劑膠囊劑 , 600.00 MG",2050048
"SODIUM BICARBONATE 60MG + SCOPOLIA EXTRACT 6MG + CALCIUM CARBONATE25MG+MAGNESIUM TRISILICATE 100MG+MAGNESIUM OXIDE 60MG+PROPANTHELINEBROMIDE 10MG+BORNEOL 2MG+CHLOROPHYLL SODIUM COPPER 5MG, 一般錠劑膠囊劑",23669
"SUCRALFATE , 一般錠劑膠囊劑 , 500.00 MG",5347456
"SUCRALFATE , 一般錠劑膠囊劑 , 1000.00 MG",105819
"SUCRALFATE , 口服顆粒劑 , 1.00 GM",643961
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 1.00 ML",525
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 10.00 ML",98469
"SUCRALFATE , 口服液劑 , 100.00  MG/ML , 120.00 ML",58643
"SUCRALFATE , 口服液劑 , 200.00  MG/ML , 5.00 ML",944550
"SUCRALFATE , 口服液劑 , 1000.00  MG/GM , 1.00 GM",222920
"ALUMINUM MAGNESIUM SILICATE 295MG + CHLOROPHYLL SODIUM COPPER 1MG +GLYCINE 20MG + GLYCYRRHIZIC ACID 70MG + MAGNESIUM CARBONAT 21MG +PIPERIDOLATE 3MG, 一般錠劑膠囊劑,",3540
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 60.00 MG",3631068
"ALVERINE CITRATE, 一般錠劑膠囊劑 , 67.00 MG",812784
"ATROPINE , 一般錠劑膠囊劑 , 400.00 MCG",22913
"ATROPINE , 注射劑 , .50 MG",299
"ATROPINE , 注射劑 , 1.00 MG",139363
"ATROPINE , 注射劑 , 2.00 MG",2
"ATROPINE 19.4MCG + PHENOBARBITAL 16.2MG + HYOSCYAMINE 103.7MCG + HYOSCINEHYDROBROMIDE 6.5MCG, 一般錠劑膠囊劑,",238903
"ATROPINE 20MCG + PHENOBARBITAL 16MG + HYOSCYAMINE SULFATE 0.1MG +SCOPOLAMINE HYDROBROMIDE 7MCG, 一般錠劑膠囊劑,",56084
"ATROPINE 0.005MG + GELSEMINE EXTRACT 0.04MG + SILVER COLLOIDAL 0.05MG + LINSEEDEXTRACT 100MG + ANGELICA EXTRACT 25MG, 一般錠劑膠囊劑,",22585
"BELLADONNA ALKALOID 5MG + PHENOBARBITAL 16MG, 一般錠劑膠囊劑,",3289
"BROMOPRIDE , 一般錠劑膠囊劑 , 10.00 MG",972415
"BUTROPIUM , 一般錠劑膠囊劑 , 5.00 MG",1139555
"BUTYLSCOPOLAMINE , 一般錠劑膠囊劑 , 10.00 MG",10324962
"BUTYLSCOPOLAMINE , 注射劑 , 20.00 MG",313860
"CAMYLOFINE , 注射劑 , 25.00 MG",7525
"CLIDINIUM 2.5MG + CHLORDIAZEPOXIDE 5MG, 一般錠劑膠囊劑,",1650513
"CYCLONIUM IODIDE (=OXAPIUM IODIDE) , 一般錠劑膠囊劑 , 10.00 MG",693714
"DICYCLOMINE , 一般錠劑膠囊劑 , 10.00 MG",6228654
"DICYCLOMINE , 一般錠劑膠囊劑 , 20.00 MG",12326
"DICYCLOMINE , 注射劑 , 20.00 MG",1369
"DICYCLOMINE 10MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",5017
"DICYCLOMINE 20MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",73096
"DIMETHYL 1，4- 7-ISOPROPYLASULENE-3-SULFONATE , 一般錠劑膠囊劑 , 2.00 MG",928113
"DIMETHICONE 40MG + DIOCTYL SODIUM SULFOSUCCINATE 30MG, 一般錠劑膠囊劑,",10540
"DIMETHICONE , 一般錠劑膠囊劑 , 20.00 MG",966486
"DIMETHICONE , 一般錠劑膠囊劑 , 40.00 MG",165606088
"DIMETHICONE , 一般錠劑膠囊劑 , 50.00 MG",12039362
"DOMPERIDONE , 一般錠劑膠囊劑 , 10.00 MG",90378889
"DOMPERIDONE , 口服液劑 , 1.00  MG/ML , 1.00 ML",12323
"DOMPERIDONE , 口服液劑 , 1.00  MG/ML , 60.00 ML",181353
"DOMPERIDONE , 栓劑 , 10.00 MG",64203
"DOMPERIDONE , 栓劑 , 30.00 MG",661
"ETHAVERINE (=ETHYLPAPAVERINE) , 一般錠劑膠囊劑 , 100.00 MG",11435
"FLOPROPIONE , 一般錠劑膠囊劑 , 40.00 MG",2311033
"FLOPROPIONE , 一般錠劑膠囊劑 , 80.00 MG",6207
"GLYCOPYRROLATE , 一般錠劑膠囊劑 , 1.00 MG",411613
"GLYCOPYRROLATE , 注射劑 , 200.00 MCG",9234
"HOMATROPINE , 一般錠劑膠囊劑 , 2.50 MG",450
"HYOSCYAMINE , 一般錠劑膠囊劑 , 125.00 MCG",7315055
"HYOSCYAMINE , 注射劑 , 20.00 MG",854
"MEBEVERINE , 一般錠劑膠囊劑 , 100.00 MG",5147719
"MEBEVERINE , 一般錠劑膠囊劑 , 135.00 MG",4261544
"MEBEVERINE,緩釋錠劑膠囊劑,200MG",14
"MEPENZOLATE , 一般錠劑膠囊劑 , 7.50 MG",5071530
"MEPENZOLATE , 一般錠劑膠囊劑 , 15.00 MG",110820
"MEPENZOLATE , 一般錠劑膠囊劑 , 25.00 MG",939
"MEPENZOLATE 7.5MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",102671
"MEPENZOLATE 25MG + PHENOBARBITAL 15MG, 一般錠劑膠囊劑,",81
"METHSCOPOLAMINE , 一般錠劑膠囊劑 , 1.00 MG",673003
"METOCLOPRAMIDE 5MG + PANCREATIN 212.5MG, 一般錠劑膠囊劑,",8682896
"METOCLOPRAMIDE , 一般錠劑膠囊劑 , 3.84-5.00 MG",58976649
"METOCLOPRAMIDE , 一般錠劑膠囊劑 , 7.67 - 10.00 MG",1514251
"METOCLOPRAMIDE , 緩釋錠劑膠囊劑 , 30.00 MG",1169655
"METOCLOPRAMIDE , 口服顆粒劑 , 10.00 MG",273
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 1.00 ML",3435
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 60.00 ML",47042
"METOCLOPRAMIDE , 口服液劑 , 1.00  MG/ML , 120.00 ML",8
"METOCLOPRAMIDE , 注射劑 , 5.00 MG",205
"METOCLOPRAMIDE , 注射劑 , 10.00 MG",4149162
"MOSAPRIDE , 一般錠劑膠囊劑 , 5.00 MG",113764747
"OTILONIUM BROMIDE , 一般錠劑膠囊劑 , 40.00 MG",14252244
"OXETHAZAINE , 一般錠劑膠囊劑 , 5.00 MG",1877503
"OXETHAZAINE , 一般錠劑膠囊劑 , 10.00 MG",14626271
"PAPAVERINE , 一般錠劑膠囊劑 , 15.00 MG",739
"PAPAVERINE , 一般錠劑膠囊劑 , 30.00 MG",43249
"PAPAVERINE 5MG + BERBERINE 50MG + BISMUTH SUBNITRATE 45MG + DIPHENHYDRAMINE5MG, 一般錠劑膠囊劑,",269
"PAPAVERINE10MG + BERBERINE 100MG + BISMUTH SUBNITRATE 90MG +DIPHENHYDRAMINE 10MG, 一般錠劑膠囊劑,",11014
"PINAVERIUM , 一般錠劑膠囊劑 , 50.00 MG",6380488
"PIPERIDOLATE , 一般錠劑膠囊劑 , 50.00 MG",525372
"PIPERILATE （=PIPETHANATE）ETHOBROMIDE , 一般錠劑膠囊劑 , 10.00 MG",3703068
"PIPERILATE （=PIPETHANATE）ETHOBROMIDE , 注射劑 , 10.00 MG",360
"PIPERILATE(=PIPETHANATE) HCL (=PENSANTE) , 一般錠劑膠囊劑 , 3.00 MG",22891
"PROPANTHELINE , 一般錠劑膠囊劑 , 15.00 MG",2929
"SCOPOLIA EXTRACT 5MG + ETHAVERINE 8MG + BENZOCAINE 40MG + BROMISOVALUM40MG, 一般錠劑膠囊劑,",1800
"TIMEPIDIUM , 一般錠劑膠囊劑 , 30.00 MG",2026861
"TRIMEBUTINE, 一般錠劑膠囊劑, 100MG",300877
"TROSPIUM CHLORIDE , 一般錠劑膠囊劑 , 5.00 MG",307067
"TROSPIUM CHLORIDE , 一般錠劑膠囊劑 , 10.00 MG",1035286
"VALETHAMATE , 一般錠劑膠囊劑 , 10.00 MG",25734
"APREPITANT , 一般錠劑膠囊劑 , 80.00MG-125.00 MG",110259
"GRANISETRON , 一般錠劑膠囊劑 , 1.00 MG",29945
"GRANISETRON , 注射劑 , 1.00 MG",32548
"GRANISETRON , 注射劑 , 3.00 MG",104766
"ONDANSETRON , 一般錠劑膠囊劑 , 8.00 MG",29494
"ONDANSETRON , 注射劑 , 4.00 MG",8563
"ONDANSETRON , 注射劑 , 8.00 MG",41306
"PALONOSETRON, 注射劑, 0.25mg",63977
"RAMOSETRON, 注射劑, 0.3mg",26307
"SCOPOLAMINE , 一般錠劑膠囊劑 , 10.00 MG",4592345
"SCOPOLAMINE , 注射劑 , 20.00 MG",356653
"TROPISETRON , 一般錠劑膠囊劑 , 5.00 MG",10676
"TROPISETRON , 注射劑 , 5.00 MG",47533
"ADENOSINE 20MG/ML + CHOLINE OROTATE 200MG/ML + VITAMIN B12  1MG/ML, 注射劑,5.00ML",9212
"ADENOSINE 5MG/ML + CHOLINE OROTATE 50MG/ML + VITAMIN B12  1.5MG/ML, 注射劑,2.00ML",128
"ANETHOLE TRITHIONE 5MG + CHOLINE BITARTRATE 300MG, 一般錠劑膠囊劑,",136383
"DI-ARGININE OXOGLURATE , 注射劑 , 5.00 GM",7335
"DI-ARGININE OXOGLURATE , 注射劑 , 10.00 GM",1425
"CHOLINE BITARTRATE 50MG+DEHYDROCHOLIC ACID 30MG+FEL TAURI 20MG+PYRIDOXINE2MG+VITAMINE B12 3MCG+INOSITOL 100MG+NIACINAMIDE (=NICOTINAMIDE)20MG+VITAMINE B2 10MG+VITAMINE B1 10MG+METHIONINE 100MG , 一般錠劑膠囊劑",156676
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 2.00ML",14
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 10.00ML",35
"BIOTIN 0.1MG/ML + CYSTEINE 1MG/ML + GLYCINE 25MG/ML + GLYCYRRHIZIC ACID2MG/ML, 注射劑, 20.00ML",618
"CHENODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 125.00 MG",21
"CHENODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 250.00 MG",4869
"CHONDROITIN 10MG/ML + METHIONINE 20MG/ML + VITAMIN B12 100MCG/ML, 注射劑,20.00ML",11
"CYSTEINE 4MG/ML + VITAMIN C 50MG/ML, 注射劑, 20.00ML",2443
"CYSTEINE 1MG/ML + GLYCINE 20MG/ML + GLYCYRRHIZIC ACID 2MG/ML, 注射劑, 5.00ML",1
"DEXTROSE 100MG/ML + METHIONINE 25MG/ML + VITAMIN B1 0.25MG/ML + VITAMIN B20.1MG/ML, 注射劑, 20.00ML",4
"DEXTROSE 100MG/ML+METHIONINE DL- 30MG/ML+RIBOFLAVIN PHOSPHATE0.05MG/ML+THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 0.25MG/ML 注射劑20ML",100
"DEXTROSE 100MG/ML + METHIONINE 20MG/ML + NICOTINAMIDE 2MG/ML + TAURINE1MG/ML + VITAMIN B1 1MG/ML + VITAMIN B2 0.1MG/ML, 注射劑, 20.00ML",629
"DEXTROXE 100MG/ML+METHIONINE 30MG/ML + VITAMIN B1 1.5MG/ML + VITAMIN B20.1MG/ML + NICOTINAMIDE 2MG/ML + TAURINE 1MG/ML, 注射劑,20ML",2878
"DIISOPROPYLAMINE DICHLORACETATE , 一般錠劑膠囊劑 , 20.00 MG",807
"GLUCURONIC ACID 50MG + VITAMIN B1 2MG + VITAMIN C 10MG, 一般錠劑膠囊劑,",38267
"GLUCURONIC ACID 25MG/ML + DEXTROSE 200MG/ML + VITAMIN B1 1MG/ML +PANTOTHENIC ACID 2.5MG/ML, 注射劑, 20.00ML",9
"GLUCURONIC ACID 25MG/ML + METHIONINE 30MG/ML + VITAMIN B2 1MG/ML + VITAMINB12 5MCG/ML + TAURINE 25MG/ML, 注射劑, 5.00ML",114
"HYMECROMONE , 一般錠劑膠囊劑 , 200.00 MG",777994
"METHIONINE 8MG/ML + GLYCINE 6MG/ML + HISTIDINE 40MG/ML, 注射劑, 5.00ML",9
"METHIONINE 3MG/ML + VITAMIN B1 1MG/ML + VITAMIN B2 0.1MG/ML + VITAMIN B60.25MG/ML + NICOTINAMIDE 2MG/ML, 注射劑, 20.00ML",982
"METHIONINE 30MG/ML + VITAMIN B1 1.5MG/ML + VITAMIN B2 0.1MG/ML + NICOTINAMIDE1MG/ML + TAURINE 10MG/ML, 注射劑, 20.00ML",37
"METHIONINE 30MG/ML + VITAMIN B1 1MG/ML + VITAMIN B2 0.1MG/ML + VITAMIN B60.25MG/ML + NICOTINAMIDE 1MG/ML, 注射劑, 20.00ML",10570
"METHIONINE 20MG/ML + VITAMIN B1 1MG/ML + VITAMIN B2 0.1MG/ML + VITAMIN B60.25MG/ML + NICOTINAMIDE 2.5MG/ML + PANTOTHENIC ACID 2MG/ML, 注射劑, 20.00ML",43
"METHIONINE 25MG/ML + VITAMIN B1 10MG/ML + VITAMIN B2 0.25MG/ML + VITAMIN B60.5MG/ML + NICOTINAMIDE 10MG/ML + TAURINE 10MG/ML, 注射劑, 2.00ML",192
"METHIONINE 25MG/ML + VITAMIN B1 5MG/ML + VITAMIN B2 1MG/ML + VITAMIN B61MG/ML + NICOTINAMIDE 10MG/ML + PANTOTHENIC ACID 2.5MG/ML+ TAURINE10MG/ML+CALCIUM GLUCONATE 10MG/ML, 注射劑, 2.00ML",28
"METHIONINE 20/ML+VITAMIN B1 0.25NG/ML+VITAMIN B2 0.1MG/ML , 注射劑 , 20.00 ML",449
"PROTOPORPHYRIN , 注射劑 , 10.00 MG",3
"SILYMARIN , 一般錠劑膠囊劑 , 35.00 MG",6435118
"SILYMARIN , 一般錠劑膠囊劑 , 70.00 MG",697390
"SILYMARIN , 一般錠劑膠囊劑 , 140.00 MG",2299740
"SILYMARIN , 一般錠劑膠囊劑 , 150.00 MG",67872939
"SILYMARIN 70MG + MULTIVITAMINES, 一般錠劑膠囊劑,",22026732
"THIOCTIC ACID , 注射劑 , 10.00 MG",218
"THIOCTIC ACID , 注射劑 , 25.00 MG",224
"TIOPRONIN , 一般錠劑膠囊劑 , 100.00 MG",28
"URSODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 50.00 MG",23732
"URSODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 100.00 MG",17498955
"URSODEOXYCHOLIC ACID , 一般錠劑膠囊劑 , 300.00 MG",4181717
"BISACODYL , 一般錠劑膠囊劑 , 5.00 MG",52745330
"BISACODYL , 栓劑 , 10.00 MG",4576150
"BISACODYL 3MG + SENNOSIDE 4MG, 一般錠劑膠囊劑,",38216
"BISACODYL 2MG + SENNOSIDE 10MG + DIOCTYL SODIUM SULFOSUCCINATE 20MG, 一般錠劑膠囊劑,",3977898
"CASCARA SAGRADA EXTRACT , 一般錠劑膠囊劑 , 130.00 MG",1747
"CASCARA SAGRADA EXTRACT , 一般錠劑膠囊劑 , 250.00 MG",8340
"CITRIC ACID 200MG/GM + POTASSIUM CITRATE 660MG/GM, 口服顆粒劑, 5.00GM",2193772
