機構名稱,機構電話,機構地址
米奇牙醫診所,223652774,臺北市中正區羅斯福路三段244巷10弄8號1樓
博瀚牙醫診所,223217599,臺北市中正區銅山街２４號２樓
仁安牙醫診所,223973393,臺北市中正區濟南路二段３之５號
英哲牙醫診所,223518552,臺北市中正區杭州南路二段５４號
紐約牙醫診所,223951658,臺北市中正區羅斯福路一段２８號２樓
大宇牙醫診所,223217474,臺北市中正區羅斯福路一段４６號２Ｆ
大全牙醫診所,223885858,臺北市中正區忠孝西路一段５０號１８樓３７室
玉立牙醫診所,02-23918326,臺北市中正區杭州南路一段143巷31號2樓
黃牙醫診所,223117298,臺北市中正區博愛路６８號２Ｆ
大埔牙醫診所,223882169,臺北市中正區中華路二段９９號
九大牙醫診所,223935167,臺北市中正區忠孝東路二段９６號１Ｆ
天惠牙醫診所,223930707,臺北市中正區羅斯福路一段１０２號２Ｆ
長弓牙醫診所,223942574,臺北市中正區仁愛路二段２６號2樓
博世牙醫診所,23938411,臺北市中正區濟南路一段７號8樓
玉霖牙醫診所,223218325,臺北市中正區新生南路一段６０號２樓
永恆牙醫診所,223653000,臺北市中正區辛亥路一段１７巷６號３Ｆ
博安牙醫診所,223911762,臺北市中正區仁愛路二段７１號２Ｈ室
瑞石牙醫診所,02 23955177,臺北市中正區信義路一段13之4號
偉華牙醫診所,223671581,臺北市中正區汀州路二段203號
誠忠牙醫診所,223670119,臺北市中正區金門街１２－８號
美東牙醫診所,23577672,臺北市中正區仁愛路二段４３號２樓
華恩牙醫診所,223058283,臺北市中正區和平西路一段一五四號
口天牙醫診所,23222554,臺北市中正區丹陽街２２號
安安牙醫診所,23563427,臺北市中正區杭州南路一段15-1號12樓
慈聖牙醫診所,23418118,臺北市中正區羅斯福路一段五十五號一樓
大佳牙醫診所,23955170,臺北市中正區新生南路一段１１０號
優登牙醫診所,23692087,臺北市中正區和平西路一段八十八號
皓齒牙醫診所,23510300,臺北市中正區羅斯福路一段一三一號四樓
君品牙醫診所,23714092,臺北市中正區延平南路232號
和逸牙醫診所,23695299,臺北市中正區同安街58號1樓
瑞邦牙醫診所,23910209,臺北市中正區羅斯福路二段16號3樓
仁崇牙醫診所,23949298,臺北市中正區新生南路一段122之3號2樓
劉永生牙醫診所,02-23111887,臺北市中正區中華路一段77號2樓
西北聯合牙醫診所,223657482,臺北市中正區汀州路三段１９０號二樓之１
中明牙科診所,223016366,臺北市中正區汀州路一段２３５號
馨雄牙醫診所,223932576,臺北市中正區忠孝東路二段１３４巷３號二樓
佳音牙醫診所,223932671,臺北市中正區南昌路一段１１號１Ｆ
聯嘉牙醫診所,223678052,臺北市中正區南昌路二段２０６號２樓之１
慶聲牙醫診所,223930043,臺北市中正區寧波東街２４巷１２號
俊廣牙醫診所,223142887,臺北市中正區南陽街３號３Ｆ
華山周牙醫診所,02-23411346,臺北市中正區忠孝東路二段６號2樓
醫療財團法人徐元智先生醫藥基金會遠東聯合診所,02-23111525,臺北市中正區永綏街8至14號
廣軒中醫診所,02-23946268,臺北市中正區南昌路一段14號2樓
寶生堂中醫診所,23673899,臺北市中正區南昌路二段206號3樓之1
長德中醫診所,23961235,臺北市中正區金華街55號
峻毅中醫診所,23678886,臺北市中正區和平西路一段30號
沂禾中醫診所,23958800,臺北市中正區臨沂街33巷38號
永康中醫診所,23936008,臺北市中正區連雲街75號
佳譽堂中醫診所,23931718,臺北市中正區寧波西街71號
仲景中醫診所,33930825,臺北市中正區忠孝東路2段16號2樓
梁文深中醫診所,02-23118678,臺北市中正區南昌路一段86號2樓
正心堂中醫診所,23413088,臺北市中正區連雲街85號2樓
華御中醫診所,23215250,臺北市中正區濟南路2段51號
建成中醫診所,23075166,臺北市中正區和平西路一段172號、174號、176號、170號二樓之1、170號三樓之1、170號三樓之2
日明耀中醫診所,02-23612228,臺北市中正區重慶南路一段58號3樓
華陽中醫診所,23951066,臺北市中正區臨沂街3巷29號
益壽中醫診所,02-23435546,臺北市中正區寧波西街45號2樓
存仁堂中醫診所,02-23279695,臺北市中正區羅斯福路一段82之1號
厚德中醫診所,23582378,臺北市中正區南昌路1段53號
溫?中醫診所,23584858,臺北市中正區忠孝東路2段126號
松裕堂中醫診所,23142130,臺北市中正區忠孝西路一段1段3號
李思儀中醫診所,23956870,臺北市中正區金山南路1段73巷6號
宏達中醫診所,23651209,臺北市中正區汀州路三段211號2樓
祥順中醫診所,23963365,臺北市中正區南昌路一段123號3樓
站前恩加中醫診所,23610003,臺北市中正區忠孝西路一段50號18樓之38
榮星中醫診所,02-23682114,臺北市中正區羅斯福路二段140號2樓之1
宜慶中醫診所,02-23620560,臺北市中正區羅斯福路二段136號
李家雄中醫診所,223927123,臺北市中正區金山南路一段１２１號３Ｆ
連明安中醫診所,223033560,臺北市中正區汀州路一段１９５號
漢神中醫診所,223037606,臺北市中正區汀州路一段２０２號
同安中醫診所,223687998,臺北市中正區同安街４１號
仁愛中醫診所,223888966,臺北市中正區延平南路１８７號
德義堂中醫診所,223217766,臺北市中正區林森南路127號
吳龍源中醫診所,223414618,臺北市中正區羅斯福路一段１３１號三樓
寧波中醫診所,223517721,臺北市中正區寧波西街80之1號
珍仁堂中醫診所,223915512,臺北市中正區新生南路一段１１０一２號１樓
儒德中醫診所,23913177,臺北市中正區南昌路一段50號
和平中醫診所,23704855,臺北市中正區和平西路二段123號
李明潤中醫診所,23225567,臺北市中正區羅斯福路一段二十八號二樓之一
順天中醫診所,23971545,臺北市中正區忠孝西路一段122號4樓
勝昌現代中醫診所,23378769,臺北市中正區和平西路二段５６之１號
恆美中醫診所,23111099,臺北市中正區襄陽路九號八樓
建中堂中醫診所,02-23212589,臺北市中正區羅斯福路一段三十二號三樓
國興中醫診所,23632057,臺北市中正區汀州路二段一二九號
洪麗妃中醫診所,23569939,臺北市中正區新生南路一段110之4號2樓
張順晶中醫診所,23948278,臺北市中正區羅斯福路二段44號5樓
嘉柏中醫診所,23141402,臺北市中正區公園路32號2樓
劉桂蘭中醫診所,33224323,臺北市中正區忠孝東路一段35號2樓
遇見中醫診所,02-23643312,臺北市中正區羅斯福路三段244巷15號1樓
顧安千金中醫診所,23214530,臺北市中正區紹興北街8號2樓之1
劉紀昌中醫診所,23914569,臺北市中正區羅斯福路1段24號4樓
拉圖牙醫診所,02-33226186、02-33226187,臺北市中正區忠孝東路一段146號1、2樓
璞鼎牙醫診所,02-23218658,臺北市中正區林森北路9巷12號2樓
誠伸牙醫診所,23969979,臺北市中正區信義路二段213號二樓
長齡牙醫診所,02-23685920,臺北市中正區師大路163號
琠雅牙醫診所,23621909,臺北市中正區汀州路二段215號
博齡牙醫診所,23651718,臺北市中正區羅斯福路4段50號3樓之4
廖春美牙醫診所,23937315,臺北市中正區寧波西街78號2樓
南門牙醫診所,23972629,臺北市中正區羅斯福路2段1號2樓之1
永欣牙醫診所,21922989*2280,臺北市中正區忠孝東路1段54號2樓之1
展望牙醫診所,23936599,臺北市中正區濟南路1段7號2樓
精彩牙醫診所,23930885,臺北市中正區杭州南路1段27號
華慶牙醫診所,23018190,臺北市中正區中華路2段339號
典樺牙醫診所,23911138,臺北市中正區金山南路1段108號2樓、2樓之1 
雅偲牙醫診所,27600009,臺北市中正區館前路2號6樓 
南西尚安皮膚科診所,02-2550-8718,臺北市大同區南京西路88號1樓2樓
澤康診所,25960922,臺北市大同區重慶北路三段71號
佳麗寶診所,25561118,臺北市大同區南京西路22號8樓
建順診所,25573250,臺北市大同區甘州街55號
春寧診所,25492000,臺北市大同區長安西路35號2樓
梅約婦產科診所,25557728,臺北市大同區長安西路88號1、2、3樓
王佳文內兒科診所,225932555,臺北市大同區重慶北路三段２７４之１號
柯敏達耳鼻喉科診所,225912176,臺北市大同區重慶北路三段250之1號
高家庭醫學科診所,225579017,臺北市大同區民權西路２７２－２號
吳寬輝診所,225590648,臺北市大同區南京西路８３號
鈞生診所,225570048,臺北市大同區甘州街２８號
國泰婦產科診所,225535055,臺北市大同區重慶北路二段一二三號
啟仁診所,225929652,臺北市大同區重慶北路三段80號
大橋張耳鼻喉科診所,225956102,臺北市大同區延平北路二段270號
陳光燦小兒科診所,225566195,臺北市大同區南京西路１２７號二樓
施小兒科診所,225941935,臺北市大同區重慶北路三段２８號
林國昭婦產科診所,225571789,臺北市大同區重慶北路二段１６５號
蔡健生內、神經科診所,225924458,臺北市大同區大龍街１８７巷３０號
邵外科診所,225523879,臺北市大同區西寧北路１３－１號
大同耳鼻咽喉科診所,02 25975833,臺北市大同區重慶北路三段二五○之四號
蔡皮膚科診所,225575287,臺北市大同區重慶北路二段１１５號
黃博裕小兒科診所,225592440,臺北市大同區赤峰街４９巷２１號
莊仁德婦產科診所,225663048,臺北市大同區太原路１４２－６號
桂林內科診所,225589728,臺北市大同區太原路６２號
張獻瑞婦產科診所,225523175,臺北市大同區西寧北路９號
保全診所,225577037,臺北市大同區保安街６４號
陳重熙內科小兒科診所,225535505,臺北市大同區保安街３之４號
余自興眼科診所,225959320,臺北市大同區重慶北路三段二一三號一樓
保春安耳鼻喉科診所,225590352,臺北市大同區長安西路290號
大橋小兒科診所,225922625,臺北市大同區延平北路三段２２－８號
黃眼科診所,225933039,臺北市大同區重慶北路三段２５６號２樓
大龍峒耳鼻喉科診所,225951475,臺北市大同區民族西路二二三之五號
包眼科診所,225537526,臺北市大同區保安街５４之１號
朱世輝耳鼻喉科診所,225535016,臺北市大同區民權西路１０６號2樓
周承良耳鼻喉科診所,225590862,臺北市大同區延平北路一段二十二號
張漢權內科診所,225505999,臺北市大同區重慶北路一段９２號
逸松外科診所,25530955,臺北市大同區重慶北路二段一九○號
聖心婦產科診所,25531346,臺北市大同區保安街一之一號
澤民診所,225963539,臺北市大同區酒泉街一○四號一樓
中華民國防癆協會第一胸腔病防治所,25538828,臺北市大同區民權西路一○四號二樓
周皮膚科診所,25583143,臺北市大同區延平北路一段二十六號
延平耳鼻喉科診所,25536612,臺北市大同區重慶北路二段二三五之四號一樓
圓環耳鼻喉科診所,25589175,臺北市大同區南京西路一○九號
雙連婦產科小兒科診所,25560264,臺北市大同區民生西路一二八號一樓
台北聖仁皮膚科診所,25558688,臺北市大同區南京西路71號二樓
臺北市立聯合醫院附設大同門診部,225948971,臺北市大同區昌吉街五十二號一、二樓
天喜牙醫診所,25950752,臺北市大同區民族西路一三八號一樓
立全牙醫診所,25536628,臺北市大同區民生西路三二一之二號
福進牙醫診所,02-25508938,臺北市大同區延平北路二段61巷20號1樓
欣恩牙醫診所,25579166,臺北市大同區重慶北路二段235之5號
康鉑牙醫診所,2555-7107,臺北市大同區南京西路267號
雅晴牙醫診所,25529757,臺北市大同區延平北路二段127號
英士牙醫診所,225580512,臺北市大同區太原路１５４－１１號
文山堂牙醫診所,225582000,臺北市大同區南京西路１８５巷５－２號
吳震鵬牙醫診所,225960793,臺北市大同區大龍街１８３號
杜瑞煙牙醫診所,225539010,臺北市大同區重慶北路二段１８３－１號三樓
宏偉牙醫診所,225579580,臺北市大同區延平北路二段２４３號２樓
瑞和牙醫診所,25566474,臺北市大同區長安西路２４６號２樓
南方牙醫診所,225583324,臺北市大同區民生西路２１０號２樓
西寧安泰牙醫診所,225527121,臺北市大同區西寧北路１５號1樓
文化牙醫診所,225594064,臺北市大同區長安西路１６２號２樓
杏仁牙醫診所,225956554,臺北市大同區酒泉街１９３號２樓
欣樺牙醫診所,225555901,臺北市大同區太原路７５號２樓
建成牙醫診所,225593999,臺北市大同區西寧北路５１－１號２樓
明山牙醫診所,225568816,臺北市大同區承德路一段８８號２樓
維明牙醫診所,225914437,臺北市大同區延平北路三段３４號
劍橋牙醫診所,225572858,臺北市大同區民權西路144 巷13號1樓、B1
李牙醫診所,02 25997711,臺北市大同區酒泉街八十六、八十八號一樓
美堅牙醫診所,225922688,臺北市大同區延平北路三段１１５號２樓
哲安牙醫診所,225598032,臺北市大同區南京西路１６７巷３－３號２Ｆ
順然牙醫診所,225960012,臺北市大同區延平北路三段８１號
宏嘉牙醫診所,225580267,臺北市大同區赤峰街１１號１樓
長興牙醫診所,02-25538935,臺北市大同區延平北路二段124號２樓
久豐牙醫診所,225918586,臺北市大同區民族西路２３６號
章牙醫診所,225536730,臺北市大同區延平北路二段144巷13之1號
仁偉牙醫診所,225538658,"臺北市大同區民權西路１４４巷1,３號1樓"
昭元牙醫診所,225971048,臺北市大同區民族西路２２３－１５號
曾鳳飛牙醫診所,225558527,臺北市大同區長安西路１１７號二樓
良朋牙醫診所,225561649,臺北市大同區天水路32號2樓
旭揚牙醫診所,225594028,臺北市大同區承德路一段４１巷１２號
朝陽牙醫診所,225563168,臺北市大同區延平北路二段１０９號２樓
宏眾牙醫診所,225531663,臺北市大同區保安街５４－１號２樓
全品牙醫診所,225575513,臺北市大同區寧夏路１１０－３號
三德牙醫診所,02 25963497,臺北市大同區承德路三段１００號一樓
英瑞牙醫診所,02 25575287,臺北市大同區重慶北路二段１１５號2樓
欣華牙醫診所,02 25538921,臺北市大同區民生西路一二三號一樓
黃隆慶婦產科診所,25573289,臺北市大同區歸綏街181號2樓之1
廣安診所,225926735,臺北市大同區大龍街１７７巷３號
林昭安診所,225533665,臺北市大同區保安街３５號
羅志弘診所,225921666,臺北市大同區重慶北路三段１１５號
濟仁診所,225556485,臺北市大同區承德路一段７０號６樓
陳澄宏眼科診所,02 25585133,臺北市大同區寧夏路二十四之六號
夏立雲診所,225539416,臺北市大同區保安街４３號
趙黎海診所,225862385,臺北市大同區哈密街六十七號
建成診所,25500712,臺北市大同區長安西路82號
廣博診所,25594775,臺北市大同區長安西路二二O巷五號
伊甸診所,25509121,臺北市大同區承德路一段66號8樓
林仲皮膚科診所,02-25525138,臺北市大同區延平北路2段20號
和泰內科診所,25590575,臺北市大同區南京西路406號8樓
羅源彰診所,25552500,臺北市大同區長安西路137號
美箖整形外科診所,25581357,臺北市大同區南京西路80號2樓
光庭耳鼻喉科診所,25957315,臺北市大同區民族西路167號
康華骨科診所,25597277,臺北市大同區民生西路138號2樓
美麗晶華診所,2558-9933,臺北市大同區民生西路126號1、2、3樓
南西韓風整形外科診所,25585551,臺北市大同區南京西路22號3樓之1、之2
痔安診所,02-25523688,臺北市大同區重慶北路2段13號
梅約內科診所,25557728,臺北市大同區長安西路88號1、2、3樓
梅約耳鼻喉科診所,25557728,臺北市大同區長安西路88號1、2、3樓
梅約皮膚科診所,25557728,臺北市大同區長安西路88號4樓
慶吉診所,25973896,臺北市大同區重慶北路三段209號
明昇中醫診所,25503912,臺北市大同區萬全街26號
人生中醫診所,25566634及0800568999,臺北市大同區重慶北路二段74號
重慶堂中醫診所,02-25554575,臺北市大同區延平北路2段88-1號
正德中醫診所,(02)25933658,臺北市大同區民權西路125號5樓
元天中醫診所,25690856,臺北市大同區民族西路42之1號
頌華中醫診所,,臺北市大同區華陰街63號
郁品堂中醫診所,25538522,臺北市大同區迪化街1段325號（實際營業為1樓）
京水堂中醫診所,25585592,臺北市大同區南京西路22號3樓之1、之2
順生中醫診所,25577290,臺北市大同區重慶北路2段235-1號
楊基中醫診所,02-25533253,臺北市大同區錦西街50之1號(實際營業場所:第一層)
田安然中醫診所,25588252,臺北市大同區承德路1段64號
廣先堂中醫診所,02-25535559,臺北市大同區承德路二段221號及223號
正和中醫診所,02-25599595,臺北市大同區重慶北路二段51號
健生中醫診所,2592-1123,臺北市大同區承德路三段151號
順天堂中醫診所,02-25911829,臺北市大同區昌吉街79號1樓
林志宏中醫診所,25500568,臺北市大同區延平北路二段14號
濟民中醫診所,25531203,臺北市大同區重慶北路二段146號(實際營業地址1樓)
控八控控中醫診所,2592-1130,臺北市大同區承德路三段148之1號
天一中醫診所,25925151,臺北市大同區重慶北路三段98號(實際營業地址:1樓及地下一層)
泓斌中醫診所,25490083,臺北市大同區錦西街53巷10號
和陽中醫診所,25572336,臺北市大同區錦西街38巷34號
自然順勢中醫診所,02-25507700,臺北市大同區承德路1段20號2樓
陳月琴中醫診所,225868507,臺北市大同區重慶北路三段３２號一’二樓
安世中醫診所,225592699,臺北市大同區重慶北路一段１０２號
全生中醫診所,225531397,臺北市大同區重慶北路二段一八四號
雙連宏福中醫診所,25526033,臺北市大同區民生西路八十號一樓
生元中醫診所,25552970分機23,臺北市大同區南京西路一八一號二樓
匯川中醫診所,25555335,臺北市大同區重慶北路二段四十二號
邱世宗中醫診所,25531488,臺北市大同區民生西路七十一號
御聖堂中醫診所,25557236     25539670,臺北市大同區重慶北路二段121號
立安中醫診所,02-25520022,臺北市大同區萬全街64之1號1樓
松興堂中醫診所,25562779,臺北市大同區重慶北路二段35號
莊雅惠中醫診所,25535009、25556452,臺北市大同區迪化街一段141號2樓
龍德中醫診所,25557258,臺北市大同區南京西路30號11樓之1
正記中醫診所,225530685,臺北市大同區重慶北路二段一○二號
信陽中醫診所,225942417,臺北市大同區蘭州街５９號
陳潮宗中醫診所,02 25935882,臺北市大同區民權西路147號(實際營業地址:第2、3、4層)、149號(實際營業地址:第1、2、3、4層)
朱華民中醫診所,225951976,臺北市大同區哈密街５９巷５６弄５１號
華源堂中醫診所,225557585,臺北市大同區民生西路３１８號
廣順中醫診所,225968873,臺北市大同區延平北路三段82號及昌吉街214號
保順中醫診所,02 25941456,臺北市大同區哈密街九十九號
春生堂中醫診所,225530279,臺北市大同區寧夏路１３８號
一聖堂中醫診所,02 25566096,臺北市大同區民生西路一五四號
平安中醫診所,225595265,臺北市大同區延平北路一段62號
陳欽銘中醫內科診所,225940683,臺北市大同區重慶北路三段２５巷２號
新林牙醫診所,225923254,臺北市大同區哈密街113號
永達牙醫診所,225584675,臺北市大同區延平北路一段155號３樓
大龍牙醫診所,25956621,臺北市大同區重慶北路三段278-1.278-2號2樓
松柏牙醫診所,02-25866938,臺北市大同區延平北路三段103號
晶悅美學牙醫診所,25593671,臺北市大同區民生西路138號
