,54e0cc8e-6f30-43c2-aa6d-333ad38a10d1
"A. DIEDENHOFEN K.G. PHARMACEUTICAL LABORATORIESP.O.BOX 750 BAD GODESBERG",54eed48a-3508-4ef8-9a62-5091d38a10d1
"A. E. C. SOCIETE DE CHIMIE ORGANIGUE ET BIOLOGIQUE03600 COMMENTRY, PARIS",54eed495-a568-4947-afdd-5091d38a10d1
"A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S. R. L.VIA DEI SETTE SANTI 3  50131 FIREUZE",54eed48a-555c-427b-a745-5091d38a10d1
"A. MENARINI MANUFACTURING LOGISTICS AND SERVICES S.R.L.VIA DEI SETTE SANTI 3  50131 FIREUZE",54eed495-92dc-41a6-83ad-5091d38a10d1
"A. NATTERMANN & CIENATTERMANNALLEE 1 50829 KOLN FEDERAL REPUBLIC OF GERMANY",54eed48a-0e34-4b62-a98f-5091d38a10d1
"A.H. COX & CO. LIMITEDWHIDDON VALLEY, BARNSTAPLE, N. DEVON EX32 8NS.",54eed499-1be8-4b2b-8b07-5091d38a10d1
"A.H. ROBINS CO. INCOR.2ESTERBROOK LANE, CHERRY HILL. NEW JERSEY, 08003-4009 U.S.A.1407 CUMMINGO DRIVE RICHMOND VIRGINIA 23220 U.S.A",54eed493-ebc4-4444-bd4d-5091d38a10d1
"A.H.ROBINS CO.,LTD.LANGHURST HORSHAM,WEST SUSSEX RH 13 5QP",54eed496-606c-4b3c-b6e7-5091d38a10d1
"A.M.S.A. ANONIMA MATERIE SINTETICHE & AFFINI S.P.A.VIA G. DI VITTORIO, 6-ITALY.",54eed489-a274-416f-a68c-5091d38a10d1
"A.MENARINI MANUFACTURING LOGISTICS AND SERVICES S.R.L.VIA DEI SETTE SANTI 3  50131 FIREUZE",54eed496-4c34-4f3b-970d-5091d38a10d1
"A.R.C.O.-CHEMIE GMBH58313 HERDECKE,WETTERSTRABE 35-37,GERMANY",54eed495-2208-4a8b-bddf-5091d38a10d1
"A/S ALFRED BENZON29, HALMTORVET, DK-1700 COPENHAGEN V",54eed494-31fc-4f08-a383-5091d38a10d1
"A/S ORTHANA KEMISK FABRILC350-356 ENGLAND SVEJ, DK-2770 KASTRUP",54eed495-eda0-40ec-a34d-5091d38a10d1
"AARTI DRUGS LIMITEDE-22, TARAPUR, TAL. PALGHAR, DIST. THANE - 401 506, MAHARASHTRA, INDIA",54eed48b-dc10-46bb-be45-5091d38a10d1
"AARTI DRUGS LTD.PLOT NO. E-120, M.I.D.C, TARAPUR, TAL-PALGHAR, DIST, THANE- 401 506,INDIA",54eed498-dd90-49c6-aaa5-5091d38a10d1
"AARTI INDUSTRIES LIMITEDPLOT NO. E-50, M.I.D.C., TARAPUR, TAL. PALGHAR DIST. THANE, 401 506. MAHARASHTRA, INDIA",54eed48a-2be8-4998-8829-5091d38a10d1
"AARTI INDUSTRIES LIMITED (UNIT - IV)PLOT NO. E-50, MIDC, TARAPUR, TAL.-PALGHAR, DIST. THANE, 401 506, MAHARASHTRA , INDIA",54eed489-c800-4bd1-a181-5091d38a10d1
"AB BOFORS NOBELKRUTS. 690. 20. BOFORS.",54eed489-b5e0-4067-804a-5091d38a10d1
"AB CERNELLEVEGEHOLM 4320 S-26294 ENGELHOLM SWEDEN",54eed493-95c0-4ae1-9acf-5091d38a10d1
"AB FERROSANAGNESLUNDSVAGEN 27 MALMO",54eed48b-e85c-4ba1-b49c-5091d38a10d1
"AB KABILINDHAGENSGATAN 133 STOCKHOLM.",54eed489-bb6c-4a16-9b91-5091d38a10d1
"Abbott Arzneimittel GmbHFreundallee 9A 30173 Hannover, Germany",54eed498-c0e8-45d8-bc00-5091d38a10d1
"Abbott BIOLOGICALS B.V.VEERWEG 12, NL-8121 AA OLST, THE NETHERLANDS",54eed497-c7c8-464f-a757-5091d38a10d1
"ABBOTT DIAGNOSTIC PRODUCT GMBHMAX-PLANCK-RING 2, D-65205, WIESBADEN, DELKENHEIM, GERMANY.",54eed48a-5868-4105-b153-5091d38a10d1
"ABBOTT GMBH & CO. KGMAX-PLANCK-RING 2 D-65205 WIESBADEN-DELKENHEIM GERMANY",54eed489-87d4-4869-aebb-5091d38a10d1
"ABBOTT GMBH DIAGNOSTKAMAX-PLANCK-RING 2 D-65205 WIESBADEN-DELKENHEIM GERMANY",54eed48b-bde4-486c-aac5-5091d38a10d1
"ABBOTT HEALTH PRODUCTS, INC.KM 58.0 CARRETERA, 2 CRUCE DAVILA, BARCELONETA, PUERTO RICO 00617",54eed494-8554-45d8-bcb9-5091d38a10d1
"ABBOTT HEALTHCARE SASROUTE DE BELLEVILLE, LIEU-DIT MAILLARD, 01400 CHATILLON SUR CHALARONNE, FRANCE",54eed49a-e198-415f-9298-5091d38a10d1
"ABBOTT HEATHCARE SASROUTE DE BELLEVILLE, LIEU DIT MAILLARD 01400 CHATILLON-SUR-CHALARONNE, FRANCE",54eed497-8164-4268-85b3-5091d38a10d1
"ABBOTT JAPAN CO., LTD.278 MATSUHIDAI MATSUDO-SHI CHIBA 270 JAPAN9-9 ROPPONGI 1-CHOME, MINATO-KU, TOKYO 106, JAPAN",54eed489-8bc0-45ff-bca9-5091d38a10d1
"ABBOTT LAB. (ABBOTT PHARMACEUTICALS INC. DIV. OF ABBOTT LAB.)ROCKY MOUNT, NORTH CAROLINA, 27802NORTH CHICAGO, ILLINOIS 60064",54eed489-582c-4100-aa63-5091d38a10d1
"ABBOTT LABORATORIESROCKY MOUNT NORTH CAROLINA 27802NORTH CHICAGO ILLINOIS 60064",54eed489-a4f8-4427-95d7-5091d38a10d1
"ABBOTT LABORATORIES (ABBOTT PHARMACEUTICALS INC. DIV. OF ABBOTT LAB.)ROCKY MOUNT,NORTH CAROLINA 27802,USANORTH CHICAGO,ILLINOIS 60064,USA",54eed48b-f9f0-4593-a73f-5091d38a10d1
"ABBOTT LABORATORIES (PHILIPPINES)MANDALUYONG, METRO MANILA",54eed48b-900c-415f-b137-5091d38a10d1
"ABBOTT LABORATORIES LIMITEDABBOTT HOUSE, VANWALL BUSINESS PARK, VANWALL ROAD, MAIDENHEAD, BERKSHIRE, SL6 4XE, UK",54eed497-2b88-4c38-ab4f-5091d38a10d1
"ABBOTT LABORATORIES LTD.QUEENBOROUGH KENT ME11 5EL.",54eed495-a224-4eb7-b1fe-5091d38a10d1
"ABBOTT PHARMACEUTICALS PR LTD.KM 58.0 CARRETERA, 2 CRUCE DAVILA, BARCELONETA, PUERTO RICO 00617",54eed498-4d7c-4b40-89bb-5091d38a10d1
"ABBOTT S.P.A.04010 CAMPOVERDE (LATINA)",54eed494-7c3c-4dfe-b8a0-5091d38a10d1
"AbbVie Bioresearch Center100 Research Drive, Worcester, MA 01605, USA",54eed48b-4aa4-4794-8d6d-5091d38a10d1
"ABBVIE BIOTECHNOLOGY GMBHMax-Planck-Ring 2, D-65205 Wiesbaden, Germany",54eed48b-cf3c-4721-9fdc-5091d38a10d1
"AbbVie Biotechnology Ltd.Road No. 2, Km.59.2 Barceloneta Puerto Rico 00617",54eed48b-1cf8-4e9c-9344-5091d38a10d1
"AbbVie Corporation8401 Trans-Canada Highway, Saint-Laurent, Quebec H4S 1Z1, Canada",54eed498-b7e8-46d2-ba55-5091d38a10d1
"ABBVIE DEUTSCHLAND GMBH & CO. KGKNOLLSTRASSE 67061 LUDWIGSHAFEN GERMANY",54eed498-1b48-404a-9536-5091d38a10d1
"ABBVIE INC.1 N WAUKEGAN RD, NORTH CHICAGO, IL 60064, USA",54eed498-0c50-4359-bb90-5091d38a10d1
"ABBVIE LTD.KM 58.0 CARRETERA, 2 CRUCE DAVILA, BARCELONETA, PUERTO RICO 00617",54eed498-7dec-4aa0-91ee-5091d38a10d1
"ABBVIE S.R.L.S.R. 148 Pontina Km 52, SNC-Campoverde di Aprilia (LT) 04011 Italy",54eed48c-8324-4eac-9b51-5091d38a10d1
"ABC FARMACEUTICAL S.P.A.C. SO VITTORIO EMANUELE II . 72, I-10121 TORINO, ITALY",54eed499-9214-428e-8423-5091d38a10d1
"ABC FARMACEUTICI S.P.A.VIA SILVIO PELLICO N. 3-28069 TRECATE (NOVARA) ITALY",54eed497-b468-44ab-86ba-5091d38a10d1
"ABELLO S.A.MADRID-17, JULIAN CAMARILLO, 8",54eed48a-f434-4e57-bde1-5091d38a10d1
"ABERDEEN PHARMACLAS CORP.140 LEGRAND AVENUE, NORTHVALE NEW JERSEY 07647",54eed494-3024-4c3b-a13a-5091d38a10d1
"ABIC LTD. PHARMACEUTICAL AND CHEMICAL INDUSTRIESINDUSTRIAL ZONE, KIRIST NORDAU, NETANYA, ISRAEL",54eed499-1c08-4c80-ae7c-5091d38a10d1
"ABIC LTD., PHARMACEUTICAL & CHEMICAL INDUSTRIESHATRUFA STREET INDUSTRIAL ZONE, P.O.B. 8077, NETANYA, ISRAEL",54eed494-806c-487d-9fac-5091d38a10d1
"ABIOGEN PHARMA. S.R.L.VIA S. ANTONIO 61 56125 PISA ITALY",54eed498-7dcc-4e84-ac75-5091d38a10d1
"ABM CHEMICAL LTD.WOODLEY STOCKPORT CHESHIRE SK6 IPQ",54eed492-068c-40ab-b3ca-5091d38a10d1
"ABOTT AUSTRALASIA PTY LTD.CAPTAIN COOK DRIVE KURNELL NSW 2231PO BOX 101,CRONULLA NSW 2230",54eed494-d220-4553-874b-5091d38a10d1
"ACBEL LABORATOIRE S.A.GENEVE",54eed489-0b80-4ea7-a6db-5091d38a10d1
"ACCUCAPS INC.2125 AMBASSADOR DRIVE, WINDSOR, ONTARIO, CANADA N9C 3R5",54eed498-a084-4337-bcce-5091d38a10d1
"ACCUPAC, INC.1501 INDUSTRIAL BLRD, MAINLAND, PA 19451-0200, U.S.A.",54eed499-cd54-41d5-b747-5091d38a10d1
"ACETO CHEMICAL CO. INC.NEW YORK 11388",54eed494-3cb4-4ae1-a784-5091d38a10d1
"ACO LAKEMEDEL ABGARDSVAGEN 10 S-17103 SOLNA",54eed495-002c-41e8-b668-5091d38a10d1
"ACS DOBFAR S.P.A.TRIBIANO(MI)-V.LE ADDETTA 4/12, ITALY",54eed497-2a70-4a8f-91f5-5091d38a10d1
"ACTAVIS GROUP HFREYKJAVIKURVEGI 76-78, 220 HAFNARF JOROUR, ICELAND",54eed499-f88c-47b6-8df1-5091d38a10d1
"ACTAVIS GROUP PTC EHF.REYKJAVIKURVEGI 76-78, 220 HAFNARFJORDUR, ICELAND",54eed48b-7618-4656-be53-5091d38a10d1
"ACTAVIS ITALY S.P.A.NERVIANO-VIALE PASTEUR N.10, MILANO,20014 ITALY",54eed492-80f4-4370-92a4-5091d38a10d1
"ACTAVIS S.R.L.11 ION MIHALACHE BLVD., SECTOR 1, 011171, BUCHAREST, ROMANIA",54eed49a-37c4-4d42-a967-5091d38a10d1
"ACTAVIS UK LIMITEDWHIDDON VALLEY. BARNSTAPLE, N. DEVON. EX32 8NS. UK",54eed495-bf30-41cb-b1ef-5091d38a10d1
"ACTELION PHARMACEUTICALS LTD.GEWERBESTRASSE 16, CH-4123 ALLSCHWIL, SWITZERLAND",54eed489-13b0-430d-8ef9-5091d38a10d1
"ADCOCK INGRAM PHARMACEUTICALS LTD.50 COMMANDO ROAD, INDUSTRIA 2093, JOHANNESBURG, REPUBLIC OF SOUTH AFRICA",54eed497-e598-4451-a53a-5091d38a10d1
"ADELCO CHROMATOURGIA ATHINON E. COLOCOTRONIS BROS INC.PIRAEUS STREET 37, MOSHATON ATHENS",54eed494-252c-4511-a93d-5091d38a10d1
"ADVANCE BIOFACTURES CORP.35 WILBUR ST. LYNBROOK NEW YORK.",54eed494-1bdc-48ba-b1d4-5091d38a10d1
"ADVANCED BIOCHEMICALS LIMITEDA-61, MALEGAON MIDC, SINNAR, NASHIK 422 103, INDIA",54eed498-93cc-4b46-a681-5091d38a10d1
"ADVANCED ENZYME TECHNOLOGIES LTD.A61/62, MALEGAON MIDC, SINNAR, NASHIK 422 113, INDIA",54eed499-1754-41bc-8ae8-5091d38a10d1
"AEGIS LTD.17, ATHINON STR. ERGATES INDUSTRIAL AREA, 2643 NICOSIA, CYPRUS",54eed498-1190-48dc-bc3d-5091d38a10d1
"AESICA PHARMACEUTICALS GmbMITTELSTRASSE 15, D-40789 MONHEIM AM RHEIN, GERMANY",54eed499-ec78-4418-9eb9-5091d38a10d1
"AESICA PHARMACEUTICALS GmbHMITTELSTRASSE 15, D-40789 MONHEIM AM RHEIN, GERMANY",54eed48b-b6a0-493a-80c1-5091d38a10d1
"AESICA PHARMACEUTICALS LTD.WINDMILL INDUSTRIAL ESTATE SHOTTON LANE CRAMLINGTON NOTHUMBERLAND NE23 3JL UK",54eed499-c86c-4b58-9130-5091d38a10d1
"Aesica Pharmaceuticals S.r.l.VIA PRAGLIA 15 10044 PIANEZZA ITALY",54eed497-f400-4080-916c-5091d38a10d1
"AESICA QUEENBOROUGH LIMITEDQUEENBOROUGH KENT, ME11 5EL, ENGLAND",54eed48b-f908-48b6-a13f-5091d38a10d1
"AGILA SPECIALTIES PRIVATE LIMITEDBILEKAHALLI, BANNERGHATTA ROAD, BANGALORE 560076, INDIA",54eed49a-b888-4777-b1b5-5091d38a10d1
"AGRI-VET PHARM LTD.410 ORMONT DRIVE WESTON ONTARIO",54eed496-9834-4c5e-844c-5091d38a10d1
"AHIRAISHI SEIYAKU CO. LTD.10-2 NAKA-2 CHOME OHYODOCHO DHYODOKU, OSAKA",54eed495-c92c-4f3c-a580-5091d38a10d1
"AIFU SEIYAKO CO. LTD.NO.5-25, SHIMIZUDANI-CHO, TENNOJI-KU, OSAKA",54eed48a-0b00-4b82-af0c-5091d38a10d1
"AIWACHEMICAL CO., LTD.4-19 FUKAMI-NISHI 2-CHOME, YAMATO-SHI, KANAGAWA 242",54eed495-8c28-4174-ae38-5091d38a10d1
"AJANTA PHARMA LTD.L-9 MIDC INDUSTRIA AREA WALUJ AURANGABAD-431136 MAHARASHTRA INDIA",54eed497-cb44-41fc-a131-5091d38a10d1
"AJINOMOTO CO. INC.1-1,SUZUKI-CHO,KAWASAKI-KU,KAWASAKI-SHI,JAPAN.15-1,KYOBASHI,1-CHOME,CHUO-KU,TOKYO 104,JAPAN.",54eed48a-9f7c-42a4-9587-5091d38a10d1
"AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.KM 131, ANHANGUERA ROAD, LIMEIRA SP, BRAZIL",54eed49a-e130-4ac9-aaa3-5091d38a10d1
"AJINOMOTO PHARMA CO., LTD. SAITAMA FACTORY6-8 HACHIMAN KAWAJIMA-MACHI HIKI-GUM SAITAMA 350-0151 JAPAN",54eed498-4968-4968-bf1b-5091d38a10d1
"AKTIEBOLAGET CERNELLENORRBROPLATSEN 2 HELSINGBORG",54eed494-d630-4ad9-8330-5091d38a10d1
"AKZO NOBEL SALT A/SHADSUNDVEJ 17 DK-9550 MARIAGER, DENMARK",54eed49a-db94-4860-a829-5091d38a10d1
"AKZONOBEL SALT A/SHADSUNDVEJ 17, DK-9550 MARIAGER DENMARK",54eed49a-2e50-401c-8b5f-5091d38a10d1
"ALACER CORP.7425 ORANGETHORPE BUENA PARK CA. 90621",54eed496-874c-4d81-83dc-5091d38a10d1
"ALAND (JIANGSU) NUTRACEUTICAL CO., LTD.61, JIANGSHAN ROAD, JINGJIANG CITY, JIANGSU, P.R. CHINA",54eed48e-1174-4841-afe8-5091d38a10d1
"ALBEMARLE CORPORATION725 CANNON BRIDGE ROAD ORANGEBURG, SOUTH CAROLINA UNITED STATES",54eed49a-2530-4422-8e2a-5091d38a10d1
"ALCHEM INTERNATIONAL LTD.25/2 MAIN MATHURA ROAD KAILI BALLABGARH 121 004 INDIA",54eed498-1d84-4a67-aa63-5091d38a10d1
"ALCHYMARS SRL20020 CERIANO LAGHETTO MILANO VIA DELLE INDUSTRIE, 6",54eed495-fa28-4e75-a7d7-5091d38a10d1
"ALCON BIOSCIENCES PRIVATE LIMITEDA-1/2104, PHASE 3, G.I.D.C VAPI, DIST:VALSAD, GUJARAT-396195 INDIA",54eed49a-2278-41ad-8269-5091d38a10d1
"ALCON BIOSCIENCES PVT. LTD.A-1/2104, PHASE III, GIDC-VAPI, GUJARAT-396 195, INDIA",54eed498-391c-488d-8277-5091d38a10d1
"ALCON CANADA INC.6500 KITIMAT ROAD, MISSISSAUGA, ONTARIO L5N2B8 CANADA",54eed498-d638-4fef-be39-5091d38a10d1
"ALCON CUSI S.A.CAMIL FABRA, 58, 08320 EL MASNOU,BARCELONA,SPAIN",54eed493-1320-4d9b-be98-5091d38a10d1
"ALCON LAB. INC.6201, SOUTH FREEWAY, FORT WORTH, TEXAS, 76134, U.S.A.",54eed48a-1f80-4f3d-8bf5-5091d38a10d1
"ALCON LABORATORIES INC.COMMERCIAL CENTER MAKATI, RIZAL D-3117",54eed494-29fc-44da-8f60-5091d38a10d1
"ALCON LABORATORIES, INC.6201 SOUTH FREEWAY, FORT WORTH, TEXAS 76134",54eed493-aaa8-454d-a6fd-5091d38a10d1
"ALCON LABORATORIOS S.A. DE C.V.CERRADA DE POPOCATEPETL NO.46 COL.GENERAL ANAYA CP 03340 MEXICO D.F.JOSE MA RICO NO.418 COL.DEL VALLE CP 03100 MEXICO ,D.F.",54eed498-4c54-4a90-8ef4-5091d38a10d1
"ALCON OF LABORATORIES LIMITED (SUB. OF ALCON  LAB. INC.)ALCON CANADA INC.6500 KITIMAT ROAD, MISSISSAUGA, ONTARIO TORONO L5N 2B8",54eed493-a5d8-4a0f-a337-5091d38a10d1
"ALCON PHARMACEUTICALS LTD.",54eed495-5e04-4159-977f-5091d38a10d1
"ALCON SURGICAL, INC.5225 WOMACK ROAD, SANFORD, NORTH CAROLINA, U.S.A.",54eed498-bef8-485f-a9ca-5091d38a10d1
"ALCOSUISSECH-6105 SCHACHEN, SWITZERLAND",54eed49a-314c-403d-ad9c-5091d38a10d1
"Aldrich Chemical Company LLC3858 BENNER ROAD MIAMISBURG, OH 45342-4304, U.S.A.",54eed49a-c658-42ae-9013-5091d38a10d1
"ALFA CHEMICALS ITALIANA S.R.L.STRADA BRIANTEA KM. 36 N2.83 2060 BULCIAGO COMO, ITALY",54eed496-bef8-43cb-a820-5091d38a10d1
"ALFA WASSERMANN S.P.A.CONTRADA S. EMIDIO-ALANNO SCALO-PESCARA ITALY",54eed496-56e4-45d4-bf48-5091d38a10d1
"ALGRY QUIMICA S.L.SPAIN",54eed499-4a7c-4eea-b955-5091d38a10d1
"ALK-ABELLO, INC.35 CHANNEL DRIVE, PORT WASHINGTON, NEW YORK 11050 U.S.A.",54eed48a-6064-47ee-9d52-5091d38a10d1
"ALKALOIDS OF AUSTRALIA PTY LTD.OIL SEED ROAD,MEMERAMBI,QUEENSLAND,AUSTRALIA 4610",54eed498-d080-486b-a4ca-5091d38a10d1
"ALKALOIDS PRIVATE LIMITED834 (P) MEDCHAL-SHAMIRPET ROAD, MEDCHAL TQ, R.R. DISTRICT, ANDHRA PRADESH, INDIA",54eed498-93d0-4704-9f38-5091d38a10d1
"ALKERMES GAINESVILLE LLC1300 GOULD DRIVE, GAINESVILLE, GA 30504, USA",54eed49a-f330-4cd8-be65-5091d38a10d1
"ALKERMES INCORPORATED  (MICROSPHERES)ALKERMES-265 OLINGER CIRCLE WILMINGTON, OHIO 45177 U.S.A.",54eed499-b450-43a2-acfc-5091d38a10d1
"ALKERMES INCORPORATED (MICROSPHERES)ALKERMES-265 OLINGER CIRCLE WILMINGTON, OHIO 45177 U.S.A.",54eed499-3f20-41b4-b9e3-5091d38a10d1
"ALKERMES PHARMA IRELAND LIMITEDMONKSLAND ATHLONE CO. WESTMEATH, IRELAND",54eed499-a40c-4439-88da-5091d38a10d1
"ALKERMES PHARMA IRELAND LTD.MONKSLAND ATHLONE CO. WESTMEATH, REP. OF IRELAND",54eed493-b810-4c58-bb7b-5091d38a10d1
"ALL PHARMACEUTICAL INDUSTRIES CO., LTD.106, 2-CHOME HIGASHI-SONODA-CHO AMAGASAKI-CITY HYOGO-PREF., 661-0953 JAPAN",54eed498-5b74-4b86-b4f5-5091d38a10d1
"ALLERGAN8301 MARS DRIVE WACO TEXAS U.S.A.",54eed498-8824-46f4-88a0-5091d38a10d1
"ALLERGAN AMERICA INC.PUERTO RICO ROAD 345 KM. 1.5 HORMIGUEROS PUERTO RICO 00660",54eed498-1704-42e7-bf7e-5091d38a10d1
"ALLERGAN INC.2525 DUPONT DRIVE, IRVINE, CALIFORNIA, U.S.A.",54eed499-3460-408d-91ab-5091d38a10d1
"ALLERGAN PHARMACEUTICAL SANTA ANS.18600 VON KARMAN, IRVINE, CALIFONIA",54eed493-1b38-4887-b290-5091d38a10d1
"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.CASTLEBAR ROAD, WESTPORT  COUNTY  MAYO.",54eed495-e6d0-4c57-9a56-5091d38a10d1
"ALLERGAN PHARMACEUTICALS INC.ALLERGAN AMERICA HORMIGUEROS, PUERTO RICO 00660",54eed498-ff80-4212-b1af-5091d38a10d1
"ALLERGAN PHARMACEUTICALS IRELANDCASTLEBAR ROAD, WESTPORT  COUNTY  MAYO,IRELAND",54eed489-d5b0-46cd-9b70-5091d38a10d1
"ALLERGAN SALES, LLC8301 MARS DRIVE WACO TEXAS U.S.A.",54eed498-4ad0-417a-9915-5091d38a10d1
"ALLERGAN SALES,LLC8301 MARS DRIVE WACO TEXAS U.S.A.",54eed498-8604-416a-87ad-5091d38a10d1
"ALLERMED LABORATORIES INC. PMF 01017203 CONVOY CT. SAN DIEGO CA 92111 U.S.A.",54eed48b-46f8-4381-80bb-5091d38a10d1
"ALLIED BIOCHEMICAL LAB.SAN FRANCISCO, CALIF.",54eed48a-5ee4-4415-9a2a-5091d38a10d1
"ALMAC PHARMA SERVICES LIMITEDSEAGOE INDUSTRIAL ESTATE, CRAIGAVON CO. ARMAGH, BT63 5UA, UNITED KINGDOM",54eed48d-0edc-4b66-a85b-5091d38a10d1
"ALMAC PHARMA SERVICES LTD.SEAGOE INDUSTRIAL ESTATE, CRAIGAVON, CO. ARMAGH, BT63 5QD, U.K.",54eed48d-ebb4-4904-8c47-5091d38a10d1
"ALPHA THERAPEUTIC CORP.5555 VALLEY BOULEVARD, LOS ANGELES, CALIFORNIA 90032",54eed489-f8b4-4505-a01c-5091d38a10d1
"ALPHAPHARM PTY LTD.102 ANTIMONY STREET CAROLE PARK, QLD 4300, AUSTRALIA",54eed496-e7ac-4c0d-99e7-5091d38a10d1
"ALPHAPHARM PTY. LTD.102 ANTIMONY STREET CAROLE PARK,QLD 4300,AUSTRALIA.",54eed496-97fc-42c1-ab33-5091d38a10d1
"ALPHARMA APSDALSLANDSGADE 11 2300 COPENHAGEN S, DENMARK",54eed498-4f54-4b75-9b79-5091d38a10d1
"ALPHARMA LIMITEDWHIDDON VALLEY. BARNSTAPLE. DEVON. EX32 8NS.",54eed497-e4ec-4e6b-9552-5091d38a10d1
"ALPS PHARMACEUTICAL CO. LTD.10-50,2-CHOME, MUKAIMACHI, FURUAWA-CHO, YOSHIKI-GUN, GIFU-PREF.,JAPAN.",54eed48b-a684-4e49-aa92-5091d38a10d1
"ALPS PHARMACEUTICAL IND. CO. LTD.10-50, 2-CHOME MUKAIMACHI, FURUKAWA-CHO.GIFU-PREFECTURE,509-42,JAPAN.",54eed48b-5284-4584-9eac-5091d38a10d1
"ALPS PHARMACEUTICAL IND. CO., LTD.10-50, FURUKAWACHO MUKAIMACHI NICHOME, HIDA, GIFU, 509-4241,JAPAN.",54eed494-01ac-4eab-b073-5091d38a10d1
"ALSTER CHEMIE 2 HAMBURG 13, WEST GERMANY2000 HAMBURG 138 HELLERSTRABE 79 HAMBURG",54eed493-cac0-4b9e-837e-5091d38a10d1
"ALTACHEM PHARMA LTD. FOR ISODIAGNOSTIKAALTACHEM PHARMA INC:17215-108 AVE EDMONTON ALBERTA T5S1G2 CANADA",54eed49a-03d0-4a1b-9249-5091d38a10d1
"ALTAIRE PHARMACEUTICAL INC.25 ANDREA ROAD HOLBROOK NEW YORK 11741 U.S.A.",54eed499-a0e8-4af5-8b30-5091d38a10d1
"ALTER FARMACIA S.A. DIVISION ALGRYAVAD DE BURGOS 121 28050 MADRID SPAIN",54eed498-a118-42eb-b0c3-5091d38a10d1
"ALTHIN MEDICAL ABBOX 39 S-372 21 RONNEBY SWEDEN",54eed499-58f4-47fd-8f5c-5091d38a10d1
"ALZA CORPORATION700 EUBANKS DRIVE VACAVILLE,CA USA",54eed496-3364-4968-b823-5091d38a10d1
"ALZA PHARMACEUTICALSPALO ALTO, CALIFORNIA 94304",54eed493-f8bc-451a-901b-5091d38a10d1
"AMANO ENZYME INC.27, HANNO, KUNOTSUBO,KITANAGOYA, AICHI 481-8533 JAPAN",54eed492-a6b8-4ba6-8cfa-5091d38a10d1
"AMATO PHARMACEUTICAL PRODUCTS LTD.20-4, 2-CHOME, OSADANO-CHO, FUKUCHIYAMA-SHI, KYOTO, JAPAN",54eed493-d568-476b-8599-5091d38a10d1
"AMATO PHARMACEUTICAL PRODUCTS LTD.FUKUCHIYAMA PLANT20-4, 2-CHOME, OSADANO-CHO, FUKUCHIYAMA-SHI, KYOTO, JAPAN",54eed499-2508-4fe3-bf32-5091d38a10d1
